journal_title,issn,eissn,subject_area,subject_category,publisher,oa_type,sjr_quartile,sjr_score,impact_factor,h_index,scope
Artificial Intelligence and Law,0924-8463,1572-8382,,,Springer Nature,Hybrid,Q1,,,,
Asia Pacific Education Review,1598-1037,1876-407X,,,Springer Nature,Hybrid,Q1,,,,
Asia Pacific Journal of Management,0217-4561,1572-9958,,,Springer Nature,Hybrid,Q1,,,,
Asian Business & Management,1472-4782,1476-9328,,,Springer Nature,Hybrid,Q2,,,,
Asian Journal of Criminology,1871-0131,1871-014X,,,Springer Nature,Hybrid,Q2,,,,
AStA Advances in Statistical Analysis,1863-8171,1863-818X,,,Springer Nature,Hybrid,Q2,,,,
Automated Software Engineering,0928-8910,1573-7535,,,Springer Nature,Hybrid,Q2,,,,
Autonomous Agents and Multi-Agent Systems,1387-2532,1573-7454,,,Springer Nature,Hybrid,Q2,,,,
Autonomous Robots,0929-5593,1573-7527,,,Springer Nature,Hybrid,Q2,,,,
Banach Journal of Mathematical Analysis,2662-2033,1735-8787,,,Springer Nature,Hybrid,Q1,,,,
Basic Research in Cardiology,0300-8428,1435-1803,,,Springer Nature,Hybrid,Q1,,,,
Behavior Genetics,0001-8244,1573-3297,,,Springer Nature,Hybrid,Q2,,,,
Behavior Research Methods,,1554-3528,,,Springer Nature,Hybrid,Q1,,,,
Behavioral Ecology and Sociobiology,0340-5443,1432-0762,,,Springer Nature,Hybrid,Q1,,,,
BioChip Journal,1976-0280,2092-7843,,,Springer Nature,Hybrid,Q1,,,,
BioControl,1386-6141,1573-8248,,,Springer Nature,Hybrid,Q1,,,,
Biodegradation,0923-9820,1572-9729,,,Springer Nature,Hybrid,Q2,,,,
Bio-Design and Manufacturing,2096-5524,2522-8552,,,Springer Nature,Hybrid,Q1,,,,
Biodiversity and Conservation,0960-3115,1572-9710,,,Springer Nature,Hybrid,Q1,,,,
BioDrugs,1173-8804,1179-190X,,,Springer Nature,Hybrid,Q1,,,,
Biogerontology,1389-5729,1573-6768,,,Springer Nature,Hybrid,Q2,,,,
Biological Invasions,1387-3547,1573-1464,,,Springer Nature,Hybrid,Q2,,,,
Biological Trace Element Research,0163-4984,1559-0720,,,Springer Nature,Hybrid,Q2,,,,
Biology & Philosophy,0169-3867,1572-8404,,,Springer Nature,Hybrid,Q1,,,,
Biology and Fertility of Soils,0178-2762,1432-0789,,,Springer Nature,Hybrid,Q1,,,,
Biomass Conversion and Biorefinery,2190-6815,2190-6823,,,Springer Nature,Hybrid,Q2,,,,
Biomechanics and Modeling in Mechanobiology,1617-7959,1617-7940,,,Springer Nature,Hybrid,Q2,,,,
Biomedical Microdevices,1387-2176,1572-8781,,,Springer Nature,Hybrid,Q2,,,,
BioMetals,0966-0844,1572-8773,,,Springer Nature,Hybrid,Q2,,,,
Bioprocess and Biosystems Engineering,1615-7591,1615-7605,,,Springer Nature,Hybrid,Q2,,,,
Biosemiotics,1875-1342,1875-1350,,,Springer Nature,Hybrid,Q1,,,,
Biotechnology and Bioprocess Engineering,1226-8372,1976-3816,,,Springer Nature,Hybrid,Q2,,,,
BIT Numerical Mathematics,0006-3835,1572-9125,,,Springer Nature,Hybrid,Q2,,,,
Bone Marrow Transplantation,0268-3369,1476-5365,,,Springer Nature,Hybrid,Q1,,,,
Brain Structure and Function,1863-2653,1863-2661,,,Springer Nature,Hybrid,Q1,,,,
Brain Topography,0896-0267,1573-6792,,,Springer Nature,Hybrid,Q2,,,,
Brain Tumor Pathology,1433-7398,1861-387X,,,Springer Nature,Hybrid,Q2,,,,
Breast Cancer,1340-6868,1880-4233,,,Springer Nature,Hybrid,Q1,,,,
Breast Cancer Research and Treatment,0167-6806,1573-7217,,,Springer Nature,Hybrid,Q2,,,,
British Dental Journal,0007-0610,1476-5373,,,Springer Nature,Hybrid,Q2,,,,
British Journal of Cancer,0007-0920,1532-1827,,,Springer Nature,Hybrid,Q1,,,,
British Politics,1746-918X,1746-9198,,,Springer Nature,Hybrid,Q2,,,,
Building Simulation,1996-3599,1996-8744,,,Springer Nature,Hybrid,Q1,,,,
Bulletin of Earthquake Engineering,1570-761X,1573-1456,,,Springer Nature,Hybrid,Q1,,,,
Bulletin of Engineering Geology and the Environment,1435-9529,1435-9537,,,Springer Nature,Hybrid,Q1,,,,
Bulletin of Mathematical Biology,0092-8240,1522-9602,,,Springer Nature,Hybrid,Q2,,,,
"Bulletin of the Brazilian Mathematical Society, New Series",1678-7544,1678-7714,,,Springer Nature,Hybrid,Q2,,,,
Bulletin of the Iranian Mathematical Society,1017-060X,1735-8515,,,Springer Nature,Hybrid,Q2,,,,
Bulletin of the Malaysian Mathematical Sciences Society,0126-6705,2180-4206,,,Springer Nature,Hybrid,Q1,,,,
Bulletin of Volcanology,0258-8900,1432-0819,,,Springer Nature,Hybrid,Q2,,,,
Business & Information Systems Engineering,2363-7005,1867-0202,,,Springer Nature,Hybrid,Q1,,,,
Calcified Tissue International,0171-967X,1432-0827,,,Springer Nature,Hybrid,Q2,,,,
Calcolo,0008-0624,1126-5434,,,Springer Nature,Hybrid,Q1,,,,
Calculus of Variations and Partial Differential Equations,0944-2669,1432-0835,,,Springer Nature,Hybrid,Q1,,,,
Canadian Journal of Anesthesia/Journal canadien d'anesthésie,0832-610X,1496-8975,,,Springer Nature,Hybrid,Q1,,,,
Canadian Journal of Emergency Medicine,1481-8035,1481-8043,,,Springer Nature,Hybrid,Q2,,,,
Canadian Journal of Public Health,0008-4263,1920-7476,,,Springer Nature,Hybrid,Q2,,,,
Cancer and Metastasis Reviews,0167-7659,1573-7233,,,Springer Nature,Hybrid,Q1,,,,
Cancer Causes & Control,0957-5243,1573-7225,,,Springer Nature,Hybrid,Q2,,,,
Cancer Gene Therapy,0929-1903,1476-5500,,,Springer Nature,Hybrid,Q1,,,,
Carbon Letters,1976-4251,2233-4998,,,Springer Nature,Hybrid,Q1,,,,
Carbonates and Evaporites,0891-2556,1878-5212,,,Springer Nature,Hybrid,Q2,,,,
CardioVascular and Interventional Radiology,0174-1551,1432-086X,,,Springer Nature,Hybrid,Q2,,,,
Cardiovascular Drugs and Therapy,0920-3206,1573-7241,,,Springer Nature,Hybrid,Q2,,,,
Cardiovascular Toxicology,1530-7905,1559-0259,,,Springer Nature,Hybrid,Q1,,,,
Cell Death & Differentiation,1350-9047,1476-5403,,,Springer Nature,Hybrid,Q1,,,,
Cellular & Molecular Immunology,1672-7681,2042-0226,,,Springer Nature,Hybrid,Q1,,,,
Cellular and Molecular Bioengineering,1865-5025,1865-5033,,,Springer Nature,Hybrid,Q1,,,,
Cellular Oncology,2211-3428,2211-3436,,,Springer Nature,Hybrid,Q1,,,,
Cellulose,0969-0239,1572-882X,,,Springer Nature,Hybrid,Q1,,,,
Central European Journal of Operations Research,1435-246X,1613-9178,,,Springer Nature,Hybrid,Q2,,,,
Cereal Research Communications,0133-3720,1788-9170,,,Springer Nature,Hybrid,Q2,,,,
Chemical Research in Chinese Universities,1005-9040,2210-3171,,,Springer Nature,Hybrid,Q2,,,,
Child and Adolescent Social Work Journal,0738-0151,1573-2797,,,Springer Nature,Hybrid,Q1,,,,
Child Indicators Research,1874-897X,1874-8988,,,Springer Nature,Hybrid,Q1,,,,
Child Psychiatry & Human Development,0009-398X,1573-3327,,,Springer Nature,Hybrid,Q2,,,,
China Foundry,1672-6421,2365-9459,,,Springer Nature,Hybrid,Q2,,,,
China Ocean Engineering,0890-5487,2191-8945,,,Springer Nature,Hybrid,Q2,,,,
Chinese Geographical Science,1002-0063,1993-064X,,,Springer Nature,Hybrid,Q2,,,,
Chinese Journal of Integrative Medicine,1672-0415,1993-0402,,,Springer Nature,Hybrid,Q2,,,,
Chinese Journal of Polymer Science,0256-7679,1439-6203,,,Springer Nature,Hybrid,Q2,,,,
Chromosome Research,0967-3849,1573-6849,,,Springer Nature,Hybrid,Q2,,,,
Clean Technologies and Environmental Policy,1618-954X,1618-9558,,,Springer Nature,Hybrid,Q2,,,,
Climate Dynamics,0930-7575,1432-0894,,,Springer Nature,Hybrid,Q2,,,,
Climatic Change,0165-0009,1573-1480,,,Springer Nature,Hybrid,Q1,,,,
Clinical & Experimental Metastasis,0262-0898,1573-7276,,,Springer Nature,Hybrid,Q2,,,,
Clinical Autonomic Research,0959-9851,1619-1560,,,Springer Nature,Hybrid,Q2,,,,
Clinical Child and Family Psychology Review,1096-4037,1573-2827,,,Springer Nature,Hybrid,Q1,,,,
Clinical Drug Investigation,1173-2563,1179-1918,,,Springer Nature,Hybrid,Q2,,,,
Clinical Neuroradiology,1869-1439,1869-1447,,,Springer Nature,Hybrid,Q2,,,,
Clinical Oral Investigations,1432-6981,1436-3771,,,Springer Nature,Hybrid,Q1,,,,
Clinical Pharmacokinetics,0312-5963,1179-1926,,,Springer Nature,Hybrid,Q1,,,,
Clinical Research in Cardiology,1861-0684,1861-0692,,,Springer Nature,Hybrid,Q1,,,,
Clinical Reviews in Allergy & Immunology,1080-0549,1559-0267,,,Springer Nature,Hybrid,Q1,,,,
Clinical Rheumatology,0770-3198,1434-9949,,,Springer Nature,Hybrid,Q2,,,,
Clinical Social Work Journal,0091-1674,1573-3343,,,Springer Nature,Hybrid,Q2,,,,
Cliometrica,1863-2505,1863-2513,,,Springer Nature,Hybrid,Q1,,,,
Cluster Computing,1386-7857,1573-7543,,,Springer Nature,Hybrid,Q1,,,,
