journal_title,issn,eissn,subject_area,subject_category,publisher,oa_type,sjr_quartile,sjr_score,impact_factor,h_index,scope
African Studies Review,0002-0206,1555-2462,,,Cambridge UP,Hybrid,,,,,
Modern Asian Studies,0026-749X,1469-8099,,,Cambridge UP,Hybrid,,,,,
Journal of Anglican Studies,1740-3553,1745-5278,,,Cambridge UP,Hybrid,,,,,
Annual of the British School at Athens,0068-2454,2045-2403,,,Cambridge UP,Hybrid,,,,,
Ancient Mesoamerica,0956-5361,1469-1787,,,Cambridge UP,Hybrid,,,,,
Animal Welfare,0962-7286,2054-1538,,,Cambridge UP,OA,,,,,
British Actuarial Journal,1357-3217,2044-0456,,,Cambridge UP,OA,,,,,
Business and Politics,,1469-3569,,,Cambridge UP,OA,,,,,
Bulletin of the Australian Mathematical Society,0004-9727,1755-1633,,,Cambridge UP,Hybrid,,,,,
Journal of Benefit-Cost Analysis,2194-5888,2152-2812,,,Cambridge UP,OA,,,,,
British Catholic History,2055-7973,2055-7981,,,Cambridge UP,Hybrid,,,,,
Bird Conservation International,0959-2709,1474-0001,,,Cambridge UP,Hybrid,,,,,
Canadian Mathematical Bulletin,0008-4395,1496-4287,,,Cambridge UP,Hybrid,,,,,
Behavioural and Cognitive Psychotherapy,1352-4658,1469-1833,,,Cambridge UP,OA,,,,,
Biotechnology Design,,2977-9057,,,Cambridge UP,OA,,,,,
Business Ethics Quarterly,1052-150X,2153-3326,,,Cambridge UP,Hybrid,,,,,
Bulletin of Entomological Research,0007-4853,1475-2670,,,Cambridge UP,Hybrid,,,,,
Business and Human Rights Journal,2057-0198,2057-0201,,,Cambridge UP,Hybrid,,,,,
Business History Review,0007-6805,2044-768X,,,Cambridge UP,Hybrid,,,,,
Bilingualism: Language and Cognition,1366-7289,1469-1841,,,Cambridge UP,OA,,,,,
BJPsych Advances,2056-4678,2056-4686,,,Cambridge UP,Hybrid,,,,,
BJPsych Bulletin,2056-4694,2056-4708,,,Cambridge UP,OA,,,,,
British Journal for the History of Science,0007-0874,1474-001X,,,Cambridge UP,Hybrid,,,,,
BJPsych International,2056-4740,2058-6264,,,Cambridge UP,OA,,,,,
British Journal of Nutrition,0007-1145,1475-2662,,,Cambridge UP,Hybrid,,,,,
BJPsych Open,,2056-4724,,,Cambridge UP,OA,,,,,
British Journal of Psychiatry,0007-1250,1472-1465,,,Cambridge UP,Hybrid,,,,,
BJHS Themes,2058-850X,2056-354X,,,Cambridge UP,OA,,,,,
British Journal of Music Education,0265-0517,1469-2104,,,Cambridge UP,Hybrid,,,,,
Behavioural Public Policy,2398-063X,2398-0648,,,Cambridge UP,OA,,,,,
Britannia,0068-113X,1753-5352,,,Cambridge UP,Hybrid,,,,,
Bulletin of Symbolic Logic,1079-8986,1943-5894,,,Cambridge UP,Hybrid,,,,,
Bulletin of the School of Oriental and African Studies,0041-977X,1474-0699,,,Cambridge UP,Hybrid,,,,,
Research Directions: Biotechnology Design,,2752-9452,,,Cambridge UP,OA,,,,,
Byzantine and Modern Greek Studies,0307-0131,1749-625X,,,Cambridge UP,Hybrid,,,,,
Cambridge Archaeological Journal,0959-7743,1474-0540,,,Cambridge UP,OA,,,,,
Canadian Journal of Philosophy,0045-5091,1911-0820,,,Cambridge UP,OA,,,,,
Classical Quarterly,0009-8388,1471-6844,,,Cambridge UP,Hybrid,,,,,
Classical Review,0009-840X,1464-3561,,,Cambridge UP,Hybrid,,,,,
Cambridge Prisms: Carbon Technologies,,2977-0505,,,Cambridge UP,OA,,,,,
Research Directions: Cyber-Physical Systems,,2753-8516,,,Cambridge UP,OA,,,,,
Cognitive Behaviour Therapist,,1754-470X,,,Cambridge UP,OA,,,,,
Central European History,0008-9389,1569-1616,,,Cambridge UP,Hybrid,,,,,
Cambridge Classical Journal,1750-2705,2047-993X,,,Cambridge UP,OA,,,,,
Contemporary European History,0960-7773,1469-2171,,,Cambridge UP,OA,,,,,
Cambridge Yearbook of European Legal Studies,1528-8870,2049-7636,,,Cambridge UP,OA,,,,,
Cambridge Forum on Technology and Global Affairs,,2977-6708,,,Cambridge UP,OA,,,,,
Cambridge Forum on AI: Culture and Society,,3033-3725,,,Cambridge UP,OA,,,,,
Cambridge Forum on Corporate Climate Governance,,3049-8503,,,Cambridge UP,OA,,,,,
Cambridge Forum on AI: Law and Governance,,3033-3733,,,Cambridge UP,OA,,,,,
Cambridge Prisms: Coastal Futures,,2754-7205,,,Cambridge UP,OA,,,,,
Church History,0009-6407,1755-2613,,,Cambridge UP,Hybrid,,,,,
Computational Humanities Research,,2977-8158,,,Cambridge UP,OA,,,,,
Canadian Journal on Aging / La Revue canadienne du vieillissement,0714-9808,1710-1107,,,Cambridge UP,Hybrid,,,,,
Canadian Journal of Law & Jurisprudence,0841-8209,2056-4260,,,Cambridge UP,OA,,,,,
Canadian Journal of Mathematics,0008-414X,1496-4279,,,Cambridge UP,Hybrid,,,,,
Canadian Journal of Neurological Sciences,0317-1671,2057-0155,,,Cambridge UP,Hybrid,,,,,
Canadian Journal of Political Science/Revue canadienne de science politique,0008-4239,1744-9324,,,Cambridge UP,Hybrid,,,,,
Cambridge Law Journal,0008-1973,1469-2139,,,Cambridge UP,Hybrid,,,,,
Clay Minerals,0009-8558,1471-8030,,,Cambridge UP,Hybrid,,,,,
Canadian Journal of Law & Society / La Revue Canadienne Droit et Société,0829-3201,1911-0227,,,Cambridge UP,OA,,,,,
Canadian Mathematical Communications,,2976-8594,,,Cambridge UP,OA,,,,,
Cambridge Materials: Energy,,2978-1698,,,Cambridge UP,OA,,,,,
Cambridge Materials: Health,,2978-1701,,,Cambridge UP,OA,,,,,
Clays and Clay Minerals,0009-8604,1552-8367,,,Cambridge UP,Hybrid,,,,,
Cambridge Materials: Circularity,,2978-168X,,,Cambridge UP,OA,,,,,
Cambridge Materials: Water,,2978-171X,,,Cambridge UP,OA,,,,,
Canadian Journal of Linguistics/Revue canadienne de linguistique,0008-4131,1710-1115,,,Cambridge UP,Hybrid,,,,,
CNS Spectrums,1092-8529,2165-6509,,,Cambridge UP,OA,,,,,
Compositio Mathematica,0010-437X,1570-5846,,,Cambridge UP,Hybrid,,,,,
Continuity and Change,0268-4160,1469-218X,,,Cambridge UP,Hybrid,,,,,
"Combinatorics, Probability and Computing",0963-5483,1469-2163,,,Cambridge UP,Hybrid,,,,,
Critical Pakistan Studies,,2753-2712,,,Cambridge UP,OA,,,,,
Cambridge Quarterly of Healthcare Ethics,0963-1801,1469-2147,,,Cambridge UP,Hybrid,,,,,
China Quarterly,0305-7410,1468-2648,,,Cambridge UP,Hybrid,,,,,
Comparative Studies in Society and History,0010-4175,1475-2999,,,Cambridge UP,OA,,,,,
Journal of Clinical and Translational Science,,2059-8661,,,Cambridge UP,OA,,,,,
Cardiology in the Young,1047-9511,1467-1107,,,Cambridge UP,Hybrid,,,,,
Canadian Yearbook of International Law / Annuaire canadien de droit international,0069-0058,1925-0169,,,Cambridge UP,Hybrid,,,,,
Data & Policy,,2632-3249,,,Cambridge UP,OA,,,,,
Journal of Dairy Research,0022-0299,1469-7629,,,Cambridge UP,Hybrid,,,,,
Du Bois Review: Social Science Research on Race,1742-058X,1742-0598,,,Cambridge UP,Hybrid,,,,,
Data-Centric Engineering,,2632-6736,,,Cambridge UP,OA,,,,,
Journal of Demographic Economics,2054-0892,2054-0906,,,Cambridge UP,OA,,,,,
Research Directions: Depression,,2976-9000,,,Cambridge UP,OA,,,,,
Democratic Theory,2332-8894,2332-8908,,,Cambridge UP,OA,,,,,
Dialogue: Canadian Philosophical Review / Revue canadienne de philosophie,0012-2173,1759-0949,,,Cambridge UP,Hybrid,,,,,
Disaster Medicine and Public Health Preparedness,1935-7893,1938-744X,,,Cambridge UP,Hybrid,,,,,
Journal of Developmental Origins of Health and Disease,2040-1744,2040-1752,,,Cambridge UP,Hybrid,,,,,
Development and Psychopathology,0954-5794,1469-2198,,,Cambridge UP,OA,,,,,
Dance Research Journal,0149-7677,1940-509X,,,Cambridge UP,Hybrid,,,,,
Cambridge Prisms: Drylands,,2976-5293,,,Cambridge UP,OA,,,,,
Design Science,,2053-4701,,,Cambridge UP,OA,,,,,
European Journal of Archaeology,1461-9571,1741-2722,,,Cambridge UP,Hybrid,,,,,
Early China,0362-5028,2325-2324,,,Cambridge UP,Hybrid,,,,,
Experimental Agriculture,0014-4797,1469-4441,,,Cambridge UP,OA,,,,,
Early Medieval England and its Neighbours,,3033-3679,,,Cambridge UP,OA,,,,,
Economics & Philosophy,0266-2671,1474-0028,,,Cambridge UP,Hybrid,,,,,
Journal of Ecclesiastical History,0022-0469,1469-7637,,,Cambridge UP,Hybrid,,,,,
European Constitutional Law Review,1574-0196,1744-5515,,,Cambridge UP,OA,,,,,
Eighteenth-Century Music,1478-5706,1478-5714,,,Cambridge UP,Hybrid,,,,,
Econometric Theory,0266-4666,1469-4360,,,Cambridge UP,Hybrid,,,,,
Environment and Development Economics,1355-770X,1469-4395,,,Cambridge UP,Hybrid,,,,,
Environmental Data Science,,2634-4602,,,Cambridge UP,OA,,,,,
Experimental Economics,1386-4157,1573-6938,,,Cambridge UP,OA,,,,,
Evolutionary Human Sciences,,2513-843X,,,Cambridge UP,OA,,,,,
Ethics & International Affairs,0892-6794,1747-7093,,,Cambridge UP,Hybrid,,,,,
European Journal of International Security,2057-5637,2057-5645,,,Cambridge UP,OA,,,,,
European Journal of Political Research,0304-4130,1475-6765,,,Cambridge UP,OA,,,,,
Ecclesiastical Law Journal,0956-618X,1751-8539,,,Cambridge UP,Hybrid,,,,,
English Language & Linguistics,1360-6743,1469-4379,,,Cambridge UP,Hybrid,,,,,
European Law Open,,2752-6135,,,Cambridge UP,OA,,,,,
Economic and Labour Relations Review,1035-3046,1838-2673,,,Cambridge UP,OA,,,,,
Early Music History,0261-1279,1474-0559,,,Cambridge UP,Hybrid,,,,,
Environmental Conservation,0376-8929,1469-4387,,,Cambridge UP,Hybrid,,,,,
English Today,0266-0784,1474-0567,,,Cambridge UP,Hybrid,,,,,
European Psychiatry,0924-9338,1778-3585,,,Cambridge UP,OA,,,,,
Episteme,1742-3600,1750-0117,,,Cambridge UP,OA,,,,,
European Political Science Review,1755-7739,1755-7747,,,Cambridge UP,OA,,,,,
Epidemiology and Psychiatric Sciences,2045-7960,2045-7979,,,Cambridge UP,OA,,,,,
Expert Reviews in Molecular Medicine,,1462-3994,,,Cambridge UP,OA,,,,,
European Journal of Risk Regulation,1867-299X,2190-8249,,,Cambridge UP,OA,,,,,
European Review,1062-7987,1474-0575,,,Cambridge UP,OA,,,,,
Journal of the Economic Science Association,2199-6784,2199-6776,,,Cambridge UP,OA,,,,,
Enterprise & Society,1467-2227,1467-2235,,,Cambridge UP,Hybrid,,,,,
Cambridge Prisms: Energy Transitions,,3049-4672,,,Cambridge UP,OA,,,,,
Ergodic Theory and Dynamical Systems,0143-3857,1469-4417,,,Cambridge UP,Hybrid,,,,,
European Political Science,1680-4333,1682-0983,,,Cambridge UP,OA,,,,,
European Journal of Sociology / Archives Européennes de Sociologie,0003-9756,1474-0583,,,Cambridge UP,Hybrid,,,,,
Cambridge Prisms: Extinction,,2755-0958,,,Cambridge UP,OA,,,,,
Finance and Society,,2059-5999,,,Cambridge UP,OA,,,,,
Federal Law Review,0067-205X,1444-6928,,,Cambridge UP,OA,,,,,
Financial History Review,0968-5650,1474-0052,,,Cambridge UP,OA,,,,,
Flow: Applications of Fluid Mechanics,,2633-4259,,,Cambridge UP,OA,,,,,
Journal of Financial Literacy and Wellbeing,,2753-3212,,,Cambridge UP,OA,,,,,
"Forum of Mathematics, Pi",,2050-5086,,,Cambridge UP,OA,,,,,
"Forum of Mathematics, Sigma",,2050-5094,,,Cambridge UP,OA,,,,,
Greece & Rome,0017-3835,1477-4550,,,Cambridge UP,Hybrid,,,,,
Geo-Bio Interfaces,,2755-385X,,,Cambridge UP,OA,,,,,
Global Constitutionalism,2045-3817,2045-3825,,,Cambridge UP,OA,,,,,
Geological Magazine,0016-7568,1469-5081,,,Cambridge UP,OA,,,,,
German Law Journal,,2071-8322,,,Cambridge UP,OA,,,,,
Gut Microbiome,,2632-2897,,,Cambridge UP,OA,,,,,
Cambridge Prisms: Global Mental Health,,2054-4251,,,Cambridge UP,OA,,,,,
Glasgow Mathematical Journal,0017-0895,1469-509X,,,Cambridge UP,Hybrid,,,,,
Government and Opposition,0017-257X,1477-7053,,,Cambridge UP,OA,,,,,
"Health Economics, Policy and Law",1744-1331,1744-134X,,,Cambridge UP,OA,,,,,
History of Education Quarterly,0018-2680,1748-5959,,,Cambridge UP,Hybrid,,,,,
Journal of the History of Economic Thought,1053-8372,1469-9656,,,Cambridge UP,Hybrid,,,,,
Hegel Bulletin,2051-5367,2051-5375,,,Cambridge UP,Hybrid,,,,,
History in Africa,0361-5413,1558-2744,,,Cambridge UP,Hybrid,,,,,
Historical Journal,0018-246X,1469-5103,,,Cambridge UP,OA,,,,,
Horizons,0360-9669,2050-8557,,,Cambridge UP,Hybrid,,,,,
High Power Laser Science and Engineering,2095-4719,2052-3289,,,Cambridge UP,OA,,,,,
Harvard Theological Review,0017-8160,1475-4517,,,Cambridge UP,Hybrid,,,,,
Epidemiology & Infection,0950-2688,1469-4409,,,Cambridge UP,OA,,,,,
Hypatia,0887-5367,1527-2001,,,Cambridge UP,Hybrid,,,,,
Proceedings of the International Astronomical Union,1743-9213,1743-9221,,,Cambridge UP,Hybrid,,,,,
Infection Control & Hospital Epidemiology,0899-823X,1559-6834,,,Cambridge UP,Hybrid,,,,,
Journal of International and Comparative Social Policy,2169-9763,2169-978X,,,Cambridge UP,OA,,,,,
Irish Historical Studies,0021-1214,2056-4139,,,Cambridge UP,Hybrid,,,,,
International Journal of Astrobiology,1473-5504,1475-3006,,,Cambridge UP,OA,,,,,
International Journal of Law in Context,1744-5523,1744-5531,,,Cambridge UP,Hybrid,,,,,
International Legal Materials,0020-7829,1930-6571,,,Cambridge UP,Hybrid,,,,,
International & Comparative Law Quarterly,0020-5893,1471-6895,,,Cambridge UP,Hybrid,,,,,
International Labor and Working-Class History,0147-5479,1471-6445,,,Cambridge UP,OA,,,,,
International Organization,0020-8183,1531-5088,,,Cambridge UP,Hybrid,,,,,
Invasive Plant Science and Management,1939-7291,1939-747X,,,Cambridge UP,OA,,,,,
Journal of the International Neuropsychological Society,1355-6177,1469-7661,,,Cambridge UP,Hybrid,,,,,
International Theory,1752-9719,1752-9727,,,Cambridge UP,OA,,,,,
Industrial and Organizational Psychology,1754-9426,1754-9434,,,Cambridge UP,Hybrid,,,,,
Journal of the International Phonetic Association,0025-1003,1475-3502,,,Cambridge UP,OA,,,,,
Irish Journal of Psychological Medicine,0790-9667,2051-6967,,,Cambridge UP,Hybrid,,,,,
Italian Political Science Review / Rivista Italiana di Scienza Politica,0048-8402,2057-4908,,,Cambridge UP,OA,,,,,
International Review of the Red Cross,1816-3831,1607-5889,,,Cambridge UP,OA,,,,,
Iranian Studies,0021-0862,1475-4819,,,Cambridge UP,Hybrid,,,,,
IRAQ,0021-0889,2053-4744,,,Cambridge UP,OA,,,,,
International Review of Social History,0020-8590,1469-512X,,,Cambridge UP,Hybrid,,,,,
Israel Law Review,0021-2237,2047-9336,,,Cambridge UP,OA,,,,,
Itinerario,0165-1153,2041-2827,,,Cambridge UP,OA,,,,,
Journal of African Law,0021-8553,1464-3731,,,Cambridge UP,OA,,,,,
Journal of the Australian Mathematical Society,1446-7887,1446-8107,,,Cambridge UP,Hybrid,,,,,
Journal of British Studies,0021-9371,1545-6986,,,Cambridge UP,Hybrid,,,,,
Journal of Biosocial Science,0021-9320,1469-7599,,,Cambridge UP,OA,,,,,
Journal of Chinese History,2059-1632,2059-1640,,,Cambridge UP,Hybrid,,,,,
Journal of Child Language,0305-0009,1469-7602,,,Cambridge UP,OA,,,,,
International Journal of Cultural Property,0940-7391,1465-7317,,,Cambridge UP,OA,,,,,
Journal of Classics Teaching,,2058-6310,,,Cambridge UP,OA,,,,,
Judgment and Decision Making,,1930-2975,,,Cambridge UP,OA,,,,,
Journal of East Asian Studies,1598-2408,2234-6643,,,Cambridge UP,OA,,,,,
Journal of Economic History,0022-0507,1471-6372,,,Cambridge UP,Hybrid,,,,,
Journal of French Language Studies,0959-2695,1474-0079,,,Cambridge UP,Hybrid,,,,,
Journal of Functional Programming,0956-7968,1469-7653,,,Cambridge UP,OA,,,,,
Journal of Financial and Quantitative Analysis,0022-1090,1756-6916,,,Cambridge UP,Hybrid,,,,,
Journal of the Gilded Age and Progressive Era,1537-7814,1943-3557,,,Cambridge UP,Hybrid,,,,,
Journal of Global History,1740-0228,1740-0236,,,Cambridge UP,OA,,,,,
Journal of Germanic Linguistics,1470-5427,1475-3014,,,Cambridge UP,OA,,,,,
Journal of Helminthology,0022-149X,1475-2697,,,Cambridge UP,Hybrid,,,,,
Journal of Hellenic Studies,0075-4269,2041-4099,,,Cambridge UP,Hybrid,,,,,
Japanese Journal of Political Science,1468-1099,1474-0060,,,Cambridge UP,OA,,,,,
Journal of Law and Courts,2164-6570,2164-6589,,,Cambridge UP,Hybrid,,,,,
Journal of Linguistic Geography,,2049-7547,,,Cambridge UP,OA,,,,,
International Journal of Legal Information,0731-1265,2331-4117,,,Cambridge UP,Hybrid,,,,,
Journal of Laryngology & Otology,0022-2151,1748-5460,,,Cambridge UP,Hybrid,,,,,
Journal of Law and Religion,0748-0814,2163-3088,,,Cambridge UP,Hybrid,,,,,
"Journal of Law, Medicine & Ethics",1073-1105,1748-720X,,,Cambridge UP,Hybrid,,,,,
Journal of the Institute of Mathematics of Jussieu,1474-7480,1475-3030,,,Cambridge UP,Hybrid,,,,,
Journal of Management & Organization,1833-3672,1839-3527,,,Cambridge UP,OA,,,,,
Journal of Nutritional Science,,2048-6790,,,Cambridge UP,OA,,,,,
Journal of Nonlinear Waves,,3033-4268,,,Cambridge UP,OA,,,,,
Journal of Glaciology,0022-1430,1727-5652,,,Cambridge UP,OA,,,,,
Journal of Institutional Economics,1744-1374,1744-1382,,,Cambridge UP,OA,,,,,
Journal of Paleontology,0022-3360,1937-2337,,,Cambridge UP,Hybrid,,,,,
Journal of Policy History,0898-0306,1528-4190,,,Cambridge UP,Hybrid,,,,,
Journal of Applied Probability,0021-9002,1475-6072,,,Cambridge UP,Hybrid,,,,,
British Journal of Political Science,0007-1234,1469-2112,,,Cambridge UP,OA,,,,,
Journal of the Royal Asiatic Society,1356-1863,1474-0591,,,Cambridge UP,Hybrid,,,,,
Journal of Roman Archaeology,1047-7594,2331-5709,,,Cambridge UP,Hybrid,,,,,
Journal of Radiotherapy in Practice,1460-3969,1467-1131,,,Cambridge UP,OA,,,,,
Journal of Roman Studies,0075-4358,1753-528X,,,Cambridge UP,Hybrid,,,,,
Australasian Journal of Special and Inclusive Education,2515-0731,2515-074X,,,Cambridge UP,OA,,,,,
Journal of Symbolic Logic,0022-4812,1943-5886,,,Cambridge UP,Hybrid,,,,,
Journal of Social Policy,0047-2794,1469-7823,,,Cambridge UP,Hybrid,,,,,
Journal of Wine Economics,1931-4361,1931-437X,,,Cambridge UP,OA,,,,,
Knowledge Engineering Review,0269-8889,1469-8005,,,Cambridge UP,OA,,,,,
Kantian Review,1369-4154,2044-2394,,,Cambridge UP,Hybrid,,,,,
Language,0097-8507,1535-0665,,,Cambridge UP,OA,,,,,
Latin American Politics and Society,1531-426X,1548-2456,,,Cambridge UP,Hybrid,,,,,
Latin American Antiquity,1045-6635,2325-5080,,,Cambridge UP,Hybrid,,,,,
Latin American Research Review,,1542-4278,,,Cambridge UP,OA,,,,,
Journal of Latin American Studies,0022-216X,1469-767X,,,Cambridge UP,Hybrid,,,,,
Language and Cognition,1866-9808,1866-9859,,,Cambridge UP,OA,,,,,
Legal Theory,1352-3252,1469-8048,,,Cambridge UP,OA,,,,,
Law and History Review,0738-2480,1939-9022,,,Cambridge UP,Hybrid,,,,,
Lichenologist,0024-2829,1096-1135,,,Cambridge UP,Hybrid,,,,,
Legal Information Management,1472-6696,1741-2021,,,Cambridge UP,Hybrid,,,,,
Journal of Linguistics,0022-2267,1469-7742,,,Cambridge UP,Hybrid,,,,,
Libyan Studies,0263-7189,2052-6148,,,Cambridge UP,Hybrid,,,,,
Leiden Journal of International Law,0922-1565,1478-9698,,,Cambridge UP,OA,,,,,
Laser and Particle Beams,0263-0346,1469-803X,,,Cambridge UP,OA,,,,,
Law & Social Inquiry,0897-6546,1747-4469,,,Cambridge UP,Hybrid,,,,,
Law & Society Review,0023-9216,1540-5893,,,Cambridge UP,Hybrid,,,,,
Legal Studies,0261-3875,1748-121X,,,Cambridge UP,OA,,,,,
Language in Society,0047-4045,1469-8013,,,Cambridge UP,Hybrid,,,,,
Language Teaching,0261-4448,1475-3049,,,Cambridge UP,Hybrid,,,,,
Language Variation and Change,0954-3945,1469-8021,,,Cambridge UP,OA,,,,,
Mathematical Gazette,0025-5572,2056-6328,,,Cambridge UP,Hybrid,,,,,
Modern American History,2515-0456,2397-1851,,,Cambridge UP,OA,,,,,
Journal of the Marine Biological Association of the United Kingdom,0025-3154,1469-7769,,,Cambridge UP,Hybrid,,,,,
Research Directions: Mine closure and transitions,,2753-3999,,,Cambridge UP,OA,,,,,
Medical History,0025-7273,2048-8343,,,Cambridge UP,Hybrid,,,,,
Macroeconomic Dynamics,1365-1005,1469-8056,,,Cambridge UP,Hybrid,,,,,
"Memory, Mind & Media",,2635-0238,,,Cambridge UP,OA,,,,,
International Journal of Middle East Studies,0020-7438,1471-6380,,,Cambridge UP,Hybrid,,,,,
Mineralogical Magazine,0026-461X,1471-8022,,,Cambridge UP,Hybrid,,,,,
Modern Intellectual History,1479-2443,1479-2451,,,Cambridge UP,OA,,,,,
Modern Italy,1353-2944,1469-9877,,,Cambridge UP,Hybrid,,,,,
Journal of Modern African Studies,0022-278X,1469-7777,,,Cambridge UP,Hybrid,,,,,
Moduli,2949-7647,2977-1382,,,Cambridge UP,OA,,,,,
Management and Organization Review,1740-8776,1740-8784,,,Cambridge UP,Hybrid,,,,,
International Journal of Microwave and Wireless Technologies,1759-0787,1759-0795,,,Cambridge UP,Hybrid,,,,,
Mathematical Structures in Computer Science,0960-1295,1469-8072,,,Cambridge UP,Hybrid,,,,,
Journal of Navigation,0373-4633,1469-7785,,,Cambridge UP,Hybrid,,,,,
New Blackfriars,0028-4289,1741-2005,,,Cambridge UP,Hybrid,,,,,
Nineteenth-Century Music Review,1479-4098,2044-8414,,,Cambridge UP,Hybrid,,,,,
