journal_title,issn,eissn,subject_area,subject_category,publisher,oa_type,sjr_quartile,sjr_score,impact_factor,h_index,scope
European Journal of Industrial Relations,0959-6801,1461-7129,Business & Management,Business & Management,SAGE,Hybrid,,,,,
Asian Journal of Comparative Politics,2057-8911,2057-892X,Political Science & International Relations,"Politics, Public Administration & International Relations",SAGE,Hybrid,,,,,
International Bulletin of Mission Research,2396-9393,2396-9407,"Religion, Theology and Biblical Studies",Religion,SAGE,Hybrid,,,,,
North American Archaeologist,0197-6931,1541-3543,Anthropology & Archaeology,"Sociology, Gender Studies & Cultural Studies",SAGE,Hybrid,,,,,
IIM Kozhikode Society & Management Review,2277-9752,2321-029X,Business & Management,Business & Management,SAGE,Hybrid,,,,,
International Journal of Mass Emergencies & Disasters,0280-7270,2753-5703,Sociology,"Sociology, Gender Studies & Cultural Studies",SAGE,Hybrid,,,,,
Sport Marketing Quarterly,1061-6934,1557-7252,Business & Management,Business & Management,SAGE,Hybrid,,,,,
International Review of Administrative Sciences,0020-8523,1461-7226,Political Science & International Relations,"Politics, Public Administration & International Relations",SAGE,Hybrid,,,,,
Environment and Planning B: Urban Analytics and City Science,2399-8083,2399-8091,"Geography, Earth & Environmental Science",Geography and Urban Studies & Planning,SAGE,Hybrid,,,,,
Journal of Planning History,1538-5132,1552-6585,History,Geography and Urban Studies & Planning,SAGE,Hybrid,,,,,
Business Perspectives and Research,2278-5337,2394-9937,Business & Management,Business & Management,SAGE,Hybrid,,,,,
NIR news,0960-3360,1756-2708,Materials Science & Engineering,Physical Sciences,SAGE,Hybrid,,,,,
Journal of the Anthropological Survey of India,2277-436X,2632-4369,NA,"Sociology, Gender Studies & Cultural Studies",SAGE,Hybrid,,,,,
Journal of Research on Leadership Education,1942-7751,1942-7751,Education,Education,SAGE,Hybrid,,,,,
Group Processes & Intergroup Relations,1368-4302,1461-7188,"Psychology, Psychiatry & Counseling",Psychology & Counseling,SAGE,Hybrid,,,,,
The Neuroradiology Journal,1971-4009,2385-1996,Clinical Medicine,"Neurology, Neuroscience & Psychiatry",SAGE,Hybrid,,,,,
The Sociological Review,0038-0261,1467-954X,Sociology,"Sociology, Gender Studies & Cultural Studies",SAGE,Hybrid,,,,,
Journal of Cases in Educational Leadership,1555-4589,1555-4589,Education,Education,SAGE,Hybrid,,,,,
Journal of Interactive Marketing,1094-9968,1520-6653,Marketing & Hospitality,Business & Management,SAGE,Hybrid,,,,,
Alternative Law Journal,1037-969X,2398-9084,Vocational & Professional Studies,Criminology & Criminal Justice,SAGE,Hybrid,,,,,
Community Health Equity Research & Policy,2752-535X,2752-5368,Public Health,Health & Nursing,SAGE,Hybrid,,,,,
Urologia Journal,0391-5603,1724-6075,Clinical Medicine,Clinical Medicine & Surgery,SAGE,Hybrid,,,,,
International Small Business Journal,0266-2426,1741-2870,Business & Management,Business & Management,SAGE,Hybrid,,,,,
Project Management Journal,8756-9728,1938-9507,Business & Management,Business & Management,SAGE,Hybrid,,,,,
Noise & Vibration Worldwide,0957-4565,2048-4062,Materials Science & Engineering,Engineering,SAGE,Hybrid,,,,,
Annals of Clinical Psychiatry,1040-1237,1547-3325,"Psychology, Psychiatry & Counseling","Neurology, Neuroscience & Psychiatry",SAGE,Hybrid,,,,,
Quarterly Journal of Experimental Psychology,1747-0218,1747-0226,"Psychology, Psychiatry & Counseling",Psychology & Counseling,SAGE,Hybrid,,,,,
Progress in Development Studies,1464-9934,1477-027X,Economics & Development Studies,Geography and Urban Studies & Planning,SAGE,Hybrid,,,,,
Journal of Creating Value,2394-9643,2454-213X,Business & Management,Business & Management,SAGE,Hybrid,,,,,
Journal of Modern European History,1611-8944,2631-9764,History,History,SAGE,Hybrid,,,,,
European History Quarterly,0265-6914,1461-7110,Arts & Humanities,History,SAGE,Hybrid,,,,,
Journal of Psychology and Theology,0091-6471,2328-1162,"Religion, Theology and Biblical Studies",Religion,SAGE,Hybrid,,,,,
Journal of Histochemistry & Cytochemistry,0022-1554,1551-5044,Life & Biomedical Sciences,Biology & Life Sciences,SAGE,Hybrid,,,,,
Journal of Educational Computing Research,0735-6331,1541-4140,Education,Education,SAGE,Hybrid,,,,,
Chinese Journal of Transnational Law,2753-412X,2753-412X,NA,"Politics, Public Administration & International Relations",SAGE,Hybrid,,,,,
Industry and Higher Education,0950-4222,2043-6858,Business & Management,Education,SAGE,Hybrid,,,,,
Arts and Humanities in Higher Education,1474-0222,1741-265X,Arts & Humanities,Education,SAGE,Hybrid,,,,,
Canadian Journal of Occupational Therapy,0008-4174,1911-9828,Other Health Specialties,"Orthopedics, Sports Medicine & Rehabilitation",SAGE,Hybrid,,,,,
Missiology,0091-8296,2051-3623,"Religion, Theology and Biblical Studies",Religion,SAGE,Hybrid,,,,,
Assessment for Effective Intervention,1534-5084,1938-7458,Education,Education,SAGE,Hybrid,,,,,
Pediatric and Developmental Pathology,1093-5266,1615-5742,Clinical Medicine,"Pharmacology, Toxicology & Pathology",SAGE,Hybrid,,,,,
European Journal of Cultural Studies,1367-5494,1460-3551,Cultural Studies,"Sociology, Gender Studies & Cultural Studies",SAGE,Hybrid,,,,,
The American Surgeon™,0003-1348,1555-9823,NA,Clinical Medicine & Surgery,SAGE,Hybrid,,,,,
International Journal of Market Research,1470-7853,2515-2173,Sociology,Business & Management,SAGE,Hybrid,,,,,
Electronic News,1931-2431,1931-244X,Communication & Media Studies,Communication & Media Studies and Language & Linguistics,SAGE,Hybrid,,,,,
Rationality and Society,1043-4631,1461-7358,Sociology,"Sociology, Gender Studies & Cultural Studies",SAGE,Hybrid,,,,,
Production and Operations Management,1059-1478,1937-5956,NA,Business & Management,SAGE,Hybrid,,,,,
Global Studies of Childhood,2043-6106,2043-6106,Education,Education,SAGE,Hybrid,,,,,
History of Psychiatry,0957-154X,1740-2360,"Psychology, Psychiatry & Counseling",Psychology & Counseling,SAGE,Hybrid,,,,,
Journal of Drug Issues,0022-0426,1945-1369,Criminology & Criminal Justice,Criminology & Criminal Justice,SAGE,Hybrid,,,,,
Journal for the Education of the Gifted,0162-3532,2162-9501,Education,Education,SAGE,Hybrid,,,,,
Advances in Applied Ceramics,1743-6753,1743-6761,NA,Engineering,SAGE,Hybrid,,,,,
Academic Forensic Pathology,1925-3621,1925-3621,Clinical Medicine,Criminology & Criminal Justice,SAGE,Hybrid,,,,,
Contemporary Review of the Middle East,2347-7989,2349-0055,Economics & Development Studies,"Politics, Public Administration & International Relations",SAGE,Hybrid,,,,,
China Report,0009-4455,0973-063X,Area & Ethnic Studies,"Politics, Public Administration & International Relations",SAGE,Hybrid,,,,,
The International Journal of Aging and Human Development,0091-4150,1541-3535,Aging & Gerontology,Psychology & Counseling,SAGE,Hybrid,,,,,
International Journal of Rural Management,0973-0052,0973-0680,Business & Management,Geography and Urban Studies & Planning,SAGE,Hybrid,,,,,
"Theory, Culture & Society",0263-2764,1460-3616,Anthropology & Archaeology,"Sociology, Gender Studies & Cultural Studies",SAGE,Hybrid,,,,,
Proceedings of the Human Factors and Ergonomics Society Annual Meeting,1071-1813,2169-5067,"Psychology, Psychiatry & Counseling",Psychology & Counseling,SAGE,Hybrid,,,,,
Journal of Operations and Strategic Planning,2516-600X,2516-6018,Economics & Development Studies,Business & Management,SAGE,Hybrid,,,,,
Human Systems Management,0167-2533,1875-8703,Business & Management,Business & Management,SAGE,Hybrid,,,,,
Body & Society,1357-034X,1460-3632,Anthropology & Archaeology,"Sociology, Gender Studies & Cultural Studies",SAGE,Hybrid,,,,,
International Review of Victimology,0269-7580,2047-9433,Criminology & Criminal Justice,Criminology & Criminal Justice,SAGE,Hybrid,,,,,
International Journal of Social Psychology,0213-4748,1579-3680,NA,Psychology & Counseling,SAGE,Hybrid,,,,,
Public Finance Review,1091-1421,1552-7530,Economics & Development Studies,Business & Management,SAGE,Hybrid,,,,,
Perspectives in Public Health,1757-9139,1757-9147,Public Health,Health & Nursing,SAGE,Hybrid,,,,,
Politics,0263-3957,1467-9256,Political Science & International Relations,"Politics, Public Administration & International Relations",SAGE,Hybrid,,,,,
Journal of Peacebuilding & Development,1542-3166,2165-7440,Sociology,"Politics, Public Administration & International Relations",SAGE,Hybrid,,,,,
Educational Evaluation and Policy Analysis,0162-3737,1935-1062,Education,Education,SAGE,Hybrid,,,,,
Political Theory,0090-5917,1552-7476,Political Science & International Relations,"Politics, Public Administration & International Relations",SAGE,Hybrid,,,,,
Gifted Child Quarterly,0016-9862,1934-9041,Education,Education,SAGE,Hybrid,,,,,
Journal of Smart Tourism,2765-2157,2765-7272,Business & Management,Business & Management,SAGE,Hybrid,,,,,
Public Finance and Management,1523-9721,1523-9721,NA,"Politics, Public Administration & International Relations",SAGE,Hybrid,,,,,
Public Personnel Management,0091-0260,1945-7421,Political Science & International Relations,Business & Management,SAGE,Hybrid,,,,,
Feminist Criminology,1557-0851,1557-086X,Criminology & Criminal Justice,Criminology & Criminal Justice,SAGE,Hybrid,,,,,
The Journal of Defense Modeling and Simulation,1548-5129,1557-380X,Materials Science & Engineering,Engineering,SAGE,Hybrid,,,,,
Outlook on Agriculture,0030-7270,2043-6866,Economics & Development Studies,Geography and Urban Studies & Planning,SAGE,Hybrid,,,,,
Journal of Building Physics,1744-2591,1744-2583,Materials Science & Engineering,Engineering,SAGE,Hybrid,,,,,
Millennium,0305-8298,1477-9021,Political Science & International Relations,"Politics, Public Administration & International Relations",SAGE,Hybrid,,,,,
History of Science,0073-2753,1753-8564,History,History,SAGE,Hybrid,,,,,
Environment and Planning E: Nature and Space,2514-8486,2514-8494,"Geography, Earth & Environmental Science",Geography and Urban Studies & Planning,SAGE,Hybrid,,,,,
Sociology of Education,0038-0407,1939-8573,Sociology,"Sociology, Gender Studies & Cultural Studies",SAGE,Hybrid,,,,,
East European Politics and Societies,0888-3254,1533-8371,Political Science & International Relations,"Politics, Public Administration & International Relations",SAGE,Hybrid,,,,,
The International Journal of Artificial Organs,0391-3988,1724-6040,Clinical Medicine,Biology & Life Sciences,SAGE,Hybrid,,,,,
Vision,0972-2629,2249-5304,Business & Management,Business & Management,SAGE,Hybrid,,,,,
Nutrition and Health,0260-1060,2047-945X,Other Health Specialties,Health & Nursing,SAGE,Hybrid,,,,,
Cahiers Élisabéthains,0184-7678,2054-4715,Arts & Humanities,Communication & Media Studies and Language & Linguistics,SAGE,Hybrid,,,,,
Australian Journal of Career Development,1038-4162,2200-6974,Education,Education,SAGE,Hybrid,,,,,
Structural Health Monitoring,1475-9217,1741-3168,Materials Science & Engineering,Engineering,SAGE,Hybrid,,,,,
Journal of Classical Sociology,1468-795X,1741-2897,Sociology,"Sociology, Gender Studies & Cultural Studies",SAGE,Hybrid,,,,,
Competition and Regulation in Network Industries,1783-5917,2399-2956,Business & Management,Business & Management,SAGE,Hybrid,,,,,
Review of Market Integration,0974-9292,0975-4709,Economics & Development Studies,Business & Management,SAGE,Hybrid,,,,,
Journal of Social Archaeology,1469-6053,1741-2951,Anthropology & Archaeology,"Sociology, Gender Studies & Cultural Studies",SAGE,Hybrid,,,,,
Agrarian South: Journal of Political Economy,2277-9760,2321-0281,Economics & Development Studies,Business & Management,SAGE,Hybrid,,,,,
Journal of Vibration and Control,1077-5463,1741-2986,Materials Science & Engineering,Engineering,SAGE,Hybrid,,,,,
"Progress in Rubber, Plastics and Recycling Technology",1477-7606,1478-2413,Materials Science & Engineering,Engineering,SAGE,Hybrid,,,,,
Australasian Marketing Journal,1441-3582,1839-3349,NA,Business & Management,SAGE,Hybrid,,,,,
Asia Pacific Journal of Public Health,1010-5395,1941-2479,Public Health,Health & Nursing,SAGE,Hybrid,,,,,
Mediterranean Journal of Nutrition and Metabolism,1973-798X,1973-7998,Other Health Specialties,Health & Nursing,SAGE,Hybrid,,,,,
Journal of Applied Gerontology,0733-4648,1552-4523,Aging & Gerontology,Health & Nursing,SAGE,Hybrid,,,,,
Asian Journal of Management Cases,0972-8201,0973-0621,Business & Management,Business & Management,SAGE,Hybrid,,,,,
Critique of Anthropology,0308-275X,1460-3721,Anthropology & Archaeology,"Sociology, Gender Studies & Cultural Studies",SAGE,Hybrid,,,,,
"Trauma, Violence, & Abuse",1524-8380,1552-8324,Criminology & Criminal Justice,Criminology & Criminal Justice,SAGE,Hybrid,,,,,
Journal of Education for Sustainable Development,0973-4082,0973-4074,"Geography, Earth & Environmental Science",Geography and Urban Studies & Planning,SAGE,Hybrid,,,,,
Education for Information,0167-8329,1875-8649,Vocational & Professional Studies,Information Science,SAGE,Hybrid,,,,,
Feminist Theology,0966-7350,1745-5189,"Religion, Theology and Biblical Studies",Religion,SAGE,Hybrid,,,,,
Time & Society,0961-463X,1461-7463,Anthropology & Archaeology,"Sociology, Gender Studies & Cultural Studies",SAGE,Hybrid,,,,,
Journal of Reinforced Plastics and Composites,0731-6844,1530-7964,Materials Science & Engineering,Material Science,SAGE,Hybrid,,,,,
Rural Special Education Quarterly,8756-8705,2168-8605,Education,Education,SAGE,Hybrid,,,,,
International Review for the Sociology of Sport,1012-6902,1461-7218,Sociology,"Sociology, Gender Studies & Cultural Studies",SAGE,Hybrid,,,,,
Psychological Science,0956-7976,1467-9280,"Psychology, Psychiatry & Counseling",Psychology & Counseling,SAGE,Hybrid,,,,,
Studies in People’s History,2348-4489,2349-7718,History,"Sociology, Gender Studies & Cultural Studies",SAGE,Hybrid,,,,,
Journal of Interior Design,1071-7641,1939-1668,NA,"Design, Architecture & Ergonomics",SAGE,Hybrid,,,,,
Environment & Urbanization,0956-2478,1746-0301,Economics & Development Studies,Geography and Urban Studies & Planning,SAGE,Hybrid,,,,,
Education and Urban Society,0013-1245,1552-3535,Education,Education,SAGE,Hybrid,,,,,
Review of Public Personnel Administration,0734-371X,1552-759X,Political Science & International Relations,"Politics, Public Administration & International Relations",SAGE,Hybrid,,,,,
Journal of Back and Musculoskeletal Rehabilitation,1053-8127,1878-6324,Other Health Specialties,Health & Nursing,SAGE,Hybrid,,,,,
Advances in Communication and Swallowing,2772-5383,2772-5391,Clinical Medicine,Clinical Medicine & Surgery,SAGE,Hybrid,,,,,
"Crime, Media, Culture",1741-6590,1741-6604,Criminology & Criminal Justice,Criminology & Criminal Justice,SAGE,Hybrid,,,,,
Materials Science and Technology,0267-0836,1743-2847,NA,Engineering,SAGE,Hybrid,,,,,
Young Exceptional Children,1096-2506,2154-400X,Education,Education,SAGE,Hybrid,,,,,
Annals of Pharmacotherapy,1060-0280,1542-6270,Pharmacology & Toxicology,"Pharmacology, Toxicology & Pathology",SAGE,Hybrid,,,,,
Acta Sociologica,0001-6993,1502-3869,Cultural Studies,"Sociology, Gender Studies & Cultural Studies",SAGE,Hybrid,,,,,
School Psychology International,0143-0343,1461-7374,"Psychology, Psychiatry & Counseling",Psychology & Counseling,SAGE,Hybrid,,,,,
Family Business Review,0894-4865,1741-6248,Business & Management,Business & Management,SAGE,Hybrid,,,,,
Applied Psychological Measurement,0146-6216,1552-3497,"Psychology, Psychiatry & Counseling",Psychology & Counseling,SAGE,Hybrid,,,,,
Review of Development and Change,0972-2661,2632-055X,Economics & Development Studies,Geography and Urban Studies & Planning,SAGE,Hybrid,,,,,
Canadian Journal of School Psychology,0829-5735,2154-3984,"Psychology, Psychiatry & Counseling",Psychology & Counseling,SAGE,Hybrid,,,,,
Educational Management Administration & Leadership,1741-1432,1741-1440,Education,Education,SAGE,Hybrid,,,,,
String Research Journal,1948-4992,2164-0661,Education,Education,SAGE,Hybrid,,,,,
India Quarterly,0974-9284,0975-2684,Area & Ethnic Studies,"Politics, Public Administration & International Relations",SAGE,Hybrid,,,,,
Public Relations Inquiry,2046-147X,2046-1488,Cultural Studies,Communication & Media Studies and Language & Linguistics,SAGE,Hybrid,,,,,
Journal of Hispanic Higher Education,1538-1927,1552-5716,Education,Education,SAGE,Hybrid,,,,,
Policy Futures in Education,1478-2103,1478-2103,Education,Education,SAGE,Hybrid,,,,,
Journal of Planning Literature,0885-4122,1552-6593,"Geography, Earth & Environmental Science",Geography and Urban Studies & Planning,SAGE,Hybrid,,,,,
Teaching Sociology,0092-055X,1939-862X,Sociology,"Sociology, Gender Studies & Cultural Studies",SAGE,Hybrid,,,,,
Environmental Law Review,1461-4529,1740-5564,Vocational & Professional Studies,Criminology & Criminal Justice,SAGE,Hybrid,,,,,
RELC Journal,0033-6882,1745-526X,Language & Linguistics,Communication & Media Studies and Language & Linguistics,SAGE,Hybrid,,,,,
Social Compass,0037-7686,1461-7404,Sociology,"Sociology, Gender Studies & Cultural Studies",SAGE,Hybrid,,,,,
Netherlands Quarterly of Human Rights,0924-0519,2214-7357,Political Science & International Relations,Criminology & Criminal Justice,SAGE,Hybrid,,,,,
Proceedings of the International Symposium on Human Factors and Ergonomics in Health Care,2327-8595,2327-8595,"Psychology, Psychiatry & Counseling",Psychology & Counseling,SAGE,Hybrid,,,,,
Journal of White Collar and Corporate Crime,2631-309X,2631-3103,NA,Criminology & Criminal Justice,SAGE,Hybrid,,,,,
Action Research,1476-7503,1741-2617,Research Methods & Evaluation,Research Methods & Evaluation,SAGE,Hybrid,,,,,
Evaluation,1356-3890,1461-7153,Research Methods & Evaluation,Research Methods & Evaluation,SAGE,Hybrid,,,,,
Dialogues in Management,-,-,NULL,NULL,SAGE,Hybrid,,,,,
Journal of Hospitality & Tourism Research,1096-3480,1557-7554,Marketing & Hospitality,Business & Management,SAGE,Hybrid,,,,,
The Family Journal,1066-4807,1552-3950,"Psychology, Psychiatry & Counseling",Psychology & Counseling,SAGE,Hybrid,,,,,
Journal of Conflict Resolution,0022-0027,1552-8766,Political Science & International Relations,"Politics, Public Administration & International Relations",SAGE,Hybrid,,,,,
Bio-Medical Materials and Engineering,0959-2989,1878-3619,Materials Science & Engineering,Engineering,SAGE,Hybrid,,,,,
Asia-Pacific Journal of Rural Development,1018-5291,2074-0131,Economics & Development Studies,Geography and Urban Studies & Planning,SAGE,Hybrid,,,,,
French Cultural Studies,0957-1558,1740-2352,Cultural Studies,"Sociology, Gender Studies & Cultural Studies",SAGE,Hybrid,,,,,
The Energy Journal,0195-6574,1944-9089,NA,Geography and Urban Studies & Planning,SAGE,Hybrid,,,,,
Management and Labour Studies,0258-042X,2321-0710,Business & Management,Business & Management,SAGE,Hybrid,,,,,
Dialogues in Urban Research,2754-1258,2754-1258,NA,Geography and Urban Studies & Planning,SAGE,Hybrid,,,,,
Simulation & Gaming,1046-8781,1552-826X,Science & Society Studies,Computing & Data Science,SAGE,Hybrid,,,,,
Sociological Research Online,1360-7804,1360-7804,Sociology,"Sociology, Gender Studies & Cultural Studies",SAGE,Hybrid,,,,,
Personality and Social Psychology Bulletin,0146-1672,1552-7433,"Psychology, Psychiatry & Counseling",Psychology & Counseling,SAGE,Hybrid,,,,,
Psychology Learning & Teaching,1475-7257,2057-3022,"Psychology, Psychiatry & Counseling",Education,SAGE,Hybrid,,,,,
Advances in Structural Engineering,1369-4332,2048-4011,Materials Science & Engineering,Engineering,SAGE,Hybrid,,,,,
Journal of Psychologists and Counsellors in Schools,2055-6365,2055-6373,NA,Psychology & Counseling,SAGE,Hybrid,,,,,
Business & Society,0007-6503,1552-4205,Business & Management,Business & Management,SAGE,Hybrid,,,,,
Journal of Veterinary Dentistry,0898-7564,2470-4083,Other Health Specialties,Health & Nursing,SAGE,Hybrid,,,,,
Irish Theological Quarterly,0021-1400,1752-4989,"Religion, Theology and Biblical Studies",Religion,SAGE,Hybrid,,,,,
"Literacy Research: Theory, Method, and Practice",2381-3377,2381-3377,Education,Education,SAGE,Hybrid,,,,,
Human Systems,2634-4041,2634-4041,NA,Psychology & Counseling,SAGE,Hybrid,,,,,
Journal of Diagnostic Medical Sonography,8756-4793,1552-5430,Clinical Medicine,Clinical Medicine & Surgery,SAGE,Hybrid,,,,,
Language Testing,0265-5322,1477-0946,Language & Linguistics,Communication & Media Studies and Language & Linguistics,SAGE,Hybrid,,,,,
Ethnicities,1468-7968,1741-2706,Area & Ethnic Studies,"Sociology, Gender Studies & Cultural Studies",SAGE,Hybrid,,,,,
Journalism & Communication Monographs,1522-6379,2161-4342,Communication & Media Studies,Communication & Media Studies and Language & Linguistics,SAGE,Hybrid,,,,,
Clothing and Textiles Research Journal,0887-302X,1940-2473,Business & Management,Business & Management,SAGE,Hybrid,,,,,
The Downside Review,0012-5806,2397-3498,"Religion, Theology and Biblical Studies",Religion,SAGE,Hybrid,,,,,
Journal of Clinical Urology,2051-4158,2051-4166,Clinical Medicine,Health & Nursing,SAGE,Hybrid,,,,,
Journal of Research in Nursing,1744-9871,1744-988X,Nursing,Health & Nursing,SAGE,Hybrid,,,,,
"Illness, Crisis & Loss",1054-1373,1552-6968,"Psychology, Psychiatry & Counseling",Psychology & Counseling,SAGE,Hybrid,,,,,
Behavioral Disorders,0198-7429,2163-5307,Education,Education,SAGE,Hybrid,,,,,
Western Journal of Nursing Research,0193-9459,1552-8456,Nursing,Health & Nursing,SAGE,Hybrid,,,,,
California Management Review,0008-1256,2162-8564,Business & Management,Business & Management,SAGE,Hybrid,,,,,
Space and Culture,1206-3312,1552-8308,"Geography, Earth & Environmental Science","Sociology, Gender Studies & Cultural Studies",SAGE,Hybrid,,,,,
HAND,1558-9447,1558-9455,"Orthopedics, Biomechanics & Sports Medicine","Orthopedics, Sports Medicine & Rehabilitation",SAGE,Hybrid,,,,,
Critical Sociology,0896-9205,1569-1632,Sociology,"Sociology, Gender Studies & Cultural Studies",SAGE,Hybrid,,,,,
Journal of Education,0022-0574,2515-5741,Education,Education,SAGE,Hybrid,,,,,
"Bulletin of Science, Technology & Society",0270-4676,1552-4183,Sociology,"Sociology, Gender Studies & Cultural Studies",SAGE,Hybrid,,,,,
Lighting Research & Technology,1477-1535,1477-0938,Materials Science & Engineering,"Design, Architecture & Ergonomics",SAGE,Hybrid,,,,,
South Asia Research,0262-7280,1741-3141,Area & Ethnic Studies,"Sociology, Gender Studies & Cultural Studies",SAGE,Hybrid,,,,,
Social & Legal Studies,0964-6639,1461-7390,Criminology & Criminal Justice,Criminology & Criminal Justice,SAGE,Hybrid,,,,,
The Oriental Anthropologist,0972-558X,0976-3430,Anthropology & Archaeology,"Sociology, Gender Studies & Cultural Studies",SAGE,Hybrid,,,,,
Review of Research in Education,0091-732X,1935-1038,Education,Education,SAGE,Hybrid,,,,,
International Journal of Aeroacoustics,1475-472X,2048-4003,Materials Science & Engineering,Engineering,SAGE,Hybrid,,,,,
Information Visualization,1473-8716,1473-8724,Communication & Media Studies,Computing & Data Science,SAGE,Hybrid,,,,,
