journal_title,issn,eissn,subject_area,subject_category,publisher,oa_type,sjr_quartile,sjr_score,impact_factor,h_index,scope
Cowrie: Comparative and World Literature,,2943-0917,Literary Studies,Literary Studies,De Gruyter,Hybrid,,,,,
Culture as Text,,2750-2562,Literary Studies,Literary Studies,De Gruyter,Hybrid,,,,,
Current Directions in Biomedical Engineering,,2364-5504,Medicine,Medicine,De Gruyter,Hybrid,,,,,
Curved and Layered Structures,,2353-7396,Engineering,Engineering,De Gruyter,OA,,,,,
Demonstratio Mathematica,,2391-4661,Mathematics,Mathematics,De Gruyter,OA,,,,,
Dependence Modeling,,2300-2298,Mathematics,Mathematics,De Gruyter,OA,,,,,
Der Islam,0021-1818,1613-0928,Islamic and Middle Eastern Studies,Islamic and Middle Eastern Studies,De Gruyter,Hybrid,,,,,
Deutsche Zeitschrift für Philosophie,0012-1045,2192-1482,Philosophy,Philosophy,De Gruyter,Hybrid,,,,,
Deutsche Zeitschrift für Wirtschafts- und Insolvenzrecht,1439-1589,1612-7056,Law,Law,De Gruyter,Hybrid,,,,,
Deutsches Dante-Jahrbuch,0070-444X,2194-4059,Literary Studies,Literary Studies,De Gruyter,Hybrid,,,,,
Diabetic Nephropathy,,2719-3500,Medicine,Medicine,De Gruyter,Hybrid,,,,,
Diagnosis,2194-8011,2194-802X,Medicine,Medicine,De Gruyter,Hybrid,,,,,
Dialectologia et Geolinguistica,0942-4040,1867-0903,Linguistics and Semiotics,Linguistics and Semiotics,De Gruyter,Hybrid,,,,,
Die Aktiengesellschaft,0002-3752,2366-097X,Law,Law,De Gruyter,Hybrid,,,,,
Die Denkmalpflege,0947-031X,2569-1589,Arts,Arts,De Gruyter,Hybrid,,,,,
Digital Culture & Society,2364-2114,2364-2122,Cultural Studies,Cultural Studies,De Gruyter,Hybrid,,,,,
Digital Studies in Language and Literature,,2943-0607,Literary Studies,Literary Studies,De Gruyter,Hybrid,,,,,
Dimensions. Journal of Architectural Knowledge,,2747-5093,Architecture and Design,Architecture and Design,De Gruyter,Hybrid,,,,,
Discrete Mathematics and Applications,0924-9265,1569-3929,Mathematics,Mathematics,De Gruyter,Hybrid,,,,,
Drug Metabolism and Personalized Therapy,2363-8907,2363-8915,Medicine,Medicine,De Gruyter,Hybrid,,,,,
Eastern European Holocaust Studies,,2749-9030,History,History,De Gruyter,Hybrid,,,,,
Economics,,1864-6042,Business and Economics,Business and Economics,De Gruyter,OA,,,,,
editio,0931-3079,1865-9446,Literary Studies,Literary Studies,De Gruyter,Hybrid,,,,,
Educational Linguistics,2748-9310,2748-9329,Linguistics and Semiotics,Linguistics and Semiotics,De Gruyter,Hybrid,,,,,
Elenchos,0392-7342,2037-7177,Classical and Ancient Near Eastern Studies,Classical and Ancient Near Eastern Studies,De Gruyter,Hybrid,,,,,
Energy Harvesting and Systems,2329-8774,2329-8766,Engineering,Engineering,De Gruyter,OA,,,,,
Entrepreneurship Research Journal,2194-6175,2157-5665,Business and Economics,Business and Economics,De Gruyter,Hybrid,,,,,
Epidemiologic Methods,2194-9263,2161-962X,Medicine,Medicine,De Gruyter,Hybrid,,,,,
e-Polymers,2197-4586,1618-7229,Materials Sciences,Materials Sciences,De Gruyter,OA,,,,,
Etruscan and Italic Studies,2566-9095,2566-9109,Classical and Ancient Near Eastern Studies,Classical and Ancient Near Eastern Studies,De Gruyter,Hybrid,,,,,
European Company and Financial Law Review,1613-2548,1613-2556,Law,Law,De Gruyter,Hybrid,,,,,
European Journal of Applied Linguistics,2192-9521,2192-953X,Linguistics and Semiotics,Linguistics and Semiotics,De Gruyter,Hybrid,,,,,
European Journal of Scandinavian Studies,2191-9399,2191-9402,Literary Studies,Literary Studies,De Gruyter,Hybrid,,,,,
European Property Law Journal,2190-8273,2190-8362,Law,Law,De Gruyter,Hybrid,,,,,
European Review of Contract Law,1614-9920,1614-9939,Law,Law,De Gruyter,Hybrid,,,,,
Evangelische Theologie,0014-3502,2198-0470,Theology and Religion,Theology and Religion,De Gruyter,Hybrid,,,,,
Fabula,0014-6242,1613-0464,Literary Studies,Literary Studies,De Gruyter,Hybrid,,,,,
feministische studien,0723-5186,2365-9920,Social Sciences,Social Sciences,De Gruyter,Hybrid,,,,,
FinanzRundschau,2567-4765,2567-4897,Law,Law,De Gruyter,Hybrid,,,,,
Florida Entomologist,,1938-5102,Life Sciences,Life Sciences,De Gruyter,OA,,,,,
Folia Linguistica,0165-4004,1614-7308,Linguistics and Semiotics,Linguistics and Semiotics,De Gruyter,Hybrid,,,,,
Forschungsjournal Soziale Bewegungen,2192-4848,2365-9890,Social Sciences,Social Sciences,De Gruyter,Hybrid,,,,,
Forum for Health Economics & Policy,2194-6191,1558-9544,Business and Economics,Business and Economics,De Gruyter,Hybrid,,,,,
Forum Mathematicum,0933-7741,1435-5337,Mathematics,Mathematics,De Gruyter,Hybrid,,,,,
Frequenz,0016-1136,2191-6349,Engineering,Engineering,De Gruyter,Hybrid,,,,,
Frigid Zone Medicine,,2719-8073,Medicine,Medicine,De Gruyter,Hybrid,,,,,
Frontiers of Narrative Studies,2509-4882,2509-4890,Literary Studies,Literary Studies,De Gruyter,Hybrid,,,,,
Frühmittelalterliche Studien,0071-9706,1613-0812,Philosophy,Philosophy,De Gruyter,Hybrid,,,,,
Gender and Sustainability in the Global South,,2942-4402,Social Sciences,Social Sciences,De Gruyter,Hybrid,,,,,
Georgian Mathematical Journal,1072-947X,1572-9176,Mathematics,Mathematics,De Gruyter,Hybrid,,,,,
German Economic Review,1465-6485,1468-0475,Business and Economics,Business and Economics,De Gruyter,Hybrid,,,,,
Germanistik,0016-8912,1865-9187,Literary Studies,Literary Studies,De Gruyter,Hybrid,,,,,
GesundheitsRecht,1610-1197,2194-4229,Law,Law,De Gruyter,Hybrid,,,,,
Global Chinese,2199-4374,2199-4382,Linguistics and Semiotics,Linguistics and Semiotics,De Gruyter,Hybrid,,,,,
Global Jurist,2194-5675,1934-2640,Law,Law,De Gruyter,Hybrid,,,,,
Global Medical Education,,2942-738X,Medicine,Medicine,De Gruyter,Hybrid,,,,,
Glottotheory,1337-7892,2196-6907,Linguistics and Semiotics,Linguistics and Semiotics,De Gruyter,Hybrid,,,,,
Green Processing and Synthesis,2191-9542,2191-9550,Industrial Chemistry,Industrial Chemistry,De Gruyter,OA,,,,,
Heterocyclic Communications,0793-0283,2191-0197,Chemistry,Chemistry,De Gruyter,OA,,,,,
High Temperature Materials and Processes,0334-6455,2191-0324,Materials Sciences,Materials Sciences,De Gruyter,OA,,,,,
Historische Zeitschrift,0018-2613,2196-680X,History,History,De Gruyter,Hybrid,,,,,
Holzforschung,0018-3830,1437-434X,Materials Sciences,Materials Sciences,De Gruyter,Hybrid,,,,,
Hormone Molecular Biology and Clinical Investigation,1868-1883,1868-1891,Life Sciences,Life Sciences,De Gruyter,Hybrid,,,,,
HTM Journal of Heat Treatment and Materials,1867-2493,2194-1831,Engineering,Engineering,De Gruyter,Hybrid,,,,,
Hugoye: Journal of Syriac Studies,,1097-3702,Theology and Religion,Theology and Religion,De Gruyter,Hybrid,,,,,
Human Affairs,1210-3055,1337-401X,Social Sciences,Social Sciences,De Gruyter,Hybrid,,,,,
HUMOR,0933-1719,1613-3722,Linguistics and Semiotics,Linguistics and Semiotics,De Gruyter,Hybrid,,,,,
Iberoromania,0019-0993,1865-9039,Literary Studies,Literary Studies,De Gruyter,Hybrid,,,,,
ICL Journal,2306-3734,1995-5855,Law,Law,De Gruyter,Hybrid,,,,,
i-com,1618-162X,2196-6826,Computer Sciences,Computer Sciences,De Gruyter,OA,,,,,
Indogermanische Forschungen,0019-7262,1613-0405,Linguistics and Semiotics,Linguistics and Semiotics,De Gruyter,Hybrid,,,,,
Information – Wissenschaft & Praxis,1434-4653,1619-4292,"Library and Information Science, Book Studies","Library and Information Science, Book Studies",De Gruyter,Hybrid,,,,,
Informationen Deutsch als Fremdsprache,0724-9616,2511-0853,Linguistics and Semiotics,Linguistics and Semiotics,De Gruyter,Hybrid,,,,,
Innovative Surgical Sciences,,2364-7485,Medicine,Medicine,De Gruyter,OA,,,,,
Interacción Sino-Iberoamericana / Sino-Iberoamerican Interaction,,2747-7479,Social Sciences,Social Sciences,De Gruyter,Hybrid,,,,,
Intercultural Pragmatics,1612-295X,1613-365X,Linguistics and Semiotics,Linguistics and Semiotics,De Gruyter,Hybrid,,,,,
Interkulturelles Forum der deutsch-chinesischen Kommunikation,,2747-7495,Asian and Pacific Studies,Asian and Pacific Studies,De Gruyter,Hybrid,,,,,
International Confucian Studies,,2751-0166,Philosophy,Philosophy,De Gruyter,Hybrid,,,,,
International Journal of Adolescent Medicine and Health,0334-0139,2191-0278,Medicine,Medicine,De Gruyter,Hybrid,,,,,
International Journal of Chemical Reactor Engineering,2194-5748,1542-6580,Industrial Chemistry,Industrial Chemistry,De Gruyter,Hybrid,,,,,
International Journal of Digital Law and Governance,,2941-2552,Law,Law,De Gruyter,Hybrid,,,,,
International Journal of Emerging Electric Power Systems,2194-5756,1553-779X,Engineering,Engineering,De Gruyter,Hybrid,,,,,
International Journal of Food Engineering,2194-5764,1556-3758,Industrial Chemistry,Industrial Chemistry,De Gruyter,Hybrid,,,,,
International Journal of Legal Discourse,2364-8821,2364-883X,Linguistics and Semiotics,Linguistics and Semiotics,De Gruyter,Hybrid,,,,,
International Journal of Materials Research,1862-5282,2195-8556,Materials Sciences,Materials Sciences,De Gruyter,Hybrid,,,,,
International Journal of Nursing Education Scholarship,2194-5772,1548-923X,Medicine,Medicine,De Gruyter,Hybrid,,,,,
International Journal of Practical Theology,1430-6921,1612-9768,Theology and Religion,Theology and Religion,De Gruyter,Hybrid,,,,,
International Journal of the Sociology of Language,0165-2516,1613-3668,Linguistics and Semiotics,Linguistics and Semiotics,De Gruyter,Hybrid,,,,,
International Journal of Turbo & Jet-Engines,0334-0082,2191-0332,Engineering,Engineering,De Gruyter,Hybrid,,,,,
International Polymer Processing,0930-777X,2195-8602,Industrial Chemistry | Materials Sciences,Industrial Chemistry | Materials Sciences,De Gruyter,Hybrid,,,,,
International Public History,,2567-1111,History,History,De Gruyter,Hybrid,,,,,
International Review of Applied Linguistics in Language Teaching,0019-042X,1613-4141,Linguistics and Semiotics,Linguistics and Semiotics,De Gruyter,Hybrid,,,,,
Internationale SteuerRundschau,2194-539X,2366-116X,Law,Law,De Gruyter,Hybrid,,,,,
Internationales Archiv für Sozialgeschichte der deutschen Literatur,0340-4528,1865-9128,Literary Studies,Literary Studies,De Gruyter,Hybrid,,,,,
Internationales Handelsrecht,1617-5395,2193-9527,Law,Law,De Gruyter,Hybrid,,,,,
Internationales Jahrbuch für philosophische Anthropologie,2192-4279,2192-4287,Philosophy,Philosophy,De Gruyter,Hybrid,,,,,
it - Information Technology,1611-2776,2196-7032,Computer Sciences,Computer Sciences,De Gruyter,Hybrid,,,,,
Jahrbuch der Juristischen Zeitgeschichte,1869-6899,1869-6902,Law,Law,De Gruyter,Hybrid,,,,,
Jahrbuch der Raabe-Gesellschaft,0075-2371,1865-8857,Literary Studies,Literary Studies,De Gruyter,Hybrid,,,,,
Jahrbuch für die Geschichte Mittel- und Ostdeutschlands,0075-2614,2191-9909,History,History,De Gruyter,Hybrid,,,,,
Jahrbuch für Germanistische Sprachgeschichte,1869-7038,1869-7046,Linguistics and Semiotics,Linguistics and Semiotics,De Gruyter,Hybrid,,,,,
Jahrbuch für Wirtschaftsgeschichte / Economic History Yearbook,0075-2800,2196-6842,History,History,De Gruyter,Hybrid,,,,,
Jahrbücher für Nationalökonomie und Statistik,0021-4027,2366-049X,Business and Economics,Business and Economics,De Gruyter,Hybrid,,,,,
Journal der Juristischen Zeitgeschichte,1863-9984,1868-8810,Law,Law,De Gruyter,Hybrid,,,,,
Journal des Économistes et des Études Humaines,2194-5799,2153-1552,Business and Economics,Business and Economics,De Gruyter,Hybrid,,,,,
Journal for the History of Modern Theology / Zeitschrift für Neuere Theologiegeschichte,0943-7592,1612-9776,Theology and Religion,Theology and Religion,De Gruyter,Hybrid,,,,,
Journal für die reine und angewandte Mathematik,0075-4102,1435-5345,Mathematics,Mathematics,De Gruyter,Hybrid,,,,,
Journal of African Languages and Linguistics,0167-6164,1613-3811,Linguistics and Semiotics,Linguistics and Semiotics,De Gruyter,Hybrid,,,,,
Journal of Agricultural & Food Industrial Organization,2194-5896,1542-0485,Business and Economics,Business and Economics,De Gruyter,Hybrid,,,,,
Journal of Ancient History,2324-8106,2324-8114,Classical and Ancient Near Eastern Studies,Classical and Ancient Near Eastern Studies,De Gruyter,Hybrid,,,,,
Journal of Ancient Near Eastern History,2328-9554,2328-9562,Theology and Religion,Theology and Religion,De Gruyter,Hybrid,,,,,
Journal of Applied Analysis,1425-6908,1869-6082,Mathematics,Mathematics,De Gruyter,Hybrid,,,,,
Journal of Applied Geodesy,1862-9016,1862-9024,Geosciences,Geosciences,De Gruyter,Hybrid,,,,,
Journal of Basic and Clinical Physiology and Pharmacology,0792-6855,2191-0286,Medicine,Medicine,De Gruyter,Hybrid,,,,,
Journal of Business Valuation and Economic Loss Analysis,2194-5861,1932-9156,Business and Economics,Business and Economics,De Gruyter,Hybrid,,,,,
Journal of Causal Inference,2193-3677,2193-3685,Mathematics,Mathematics,De Gruyter,OA,,,,,
Journal of China Computer-Assisted Language Learning,,2748-3479,Linguistics and Semiotics,Linguistics and Semiotics,De Gruyter,Hybrid,,,,,
Journal of Chinese Film Studies,2702-2277,2702-2285,Cultural Studies,Cultural Studies,De Gruyter,Hybrid,,,,,
Journal of Complementary and Integrative Medicine,2194-6329,1553-3840,Medicine,Medicine,De Gruyter,Hybrid,,,,,
Journal of Contemporary Antisemitism,2472-9914,2472-9906,Jewish Studies,Jewish Studies,De Gruyter,Hybrid,,,,,
Journal of Contemporary Drama in English,2195-0156,2195-0164,Literary Studies,Literary Studies,De Gruyter,Hybrid,,,,,
Journal of Cultural Interaction in East Asia,,2747-7576,Cultural Studies,Cultural Studies,De Gruyter,Hybrid,,,,,
Journal of Digital History,,2747-5271,History,History,De Gruyter,Hybrid,,,,,
Journal of Early Modern Christianity,2196-6648,2196-6656,Theology and Religion,Theology and Religion,De Gruyter,Hybrid,,,,,
Journal of Econometric Methods,2194-6345,2156-6674,Business and Economics,Business and Economics,De Gruyter,Hybrid,,,,,
Journal of English as a Lingua Franca,2191-9216,2191-933X,Linguistics and Semiotics,Linguistics and Semiotics,De Gruyter,Hybrid,,,,,
Journal of European Tort Law,1868-9612,1868-9620,Law,Law,De Gruyter,Hybrid,,,,,
Journal of Geodetic Science,,2081-9943,Geosciences,Geosciences,De Gruyter,OA,,,,,
Journal of Globalization and Development,2194-6353,1948-1837,Business and Economics,Business and Economics,De Gruyter,Hybrid,,,,,
Journal of Group Theory,1433-5883,1435-4446,Mathematics,Mathematics,De Gruyter,Hybrid,,,,,
Journal of Historical Sociolinguistics,2199-2894,2199-2908,Linguistics and Semiotics,Linguistics and Semiotics,De Gruyter,Hybrid,,,,,
Journal of Homeland Security and Emergency Management,2194-6361,1547-7355,Social Sciences,Social Sciences,De Gruyter,Hybrid,,,,,
Journal of Imagery Research in Sport and Physical Activity,2194-637X,1932-0191,Medicine,Medicine,De Gruyter,Hybrid,,,,,
Journal of Integrated Global STEM,,2942-769X,Engineering,Engineering,De Gruyter,OA,,,,,
Journal of Integrative Bioinformatics,,1613-4516,Computer Sciences,Computer Sciences,De Gruyter,OA,,,,,
Journal of Intelligent Systems,0334-1860,2191-026X,Computer Sciences,Computer Sciences,De Gruyter,OA,,,,,
Journal of Inverse and Ill-posed Problems,0928-0219,1569-3945,Mathematics,Mathematics,De Gruyter,Hybrid,,,,,
Journal of Japanese Linguistics,0197-3150,2512-1413,Linguistics and Semiotics,Linguistics and Semiotics,De Gruyter,Hybrid,,,,,
Journal of Laboratory Medicine,2567-9430,2567-9449,Medicine,Medicine,De Gruyter,OA,,,,,
Journal of Language Relationship,,2219-4029,Linguistics and Semiotics,Linguistics and Semiotics,De Gruyter,Hybrid,,,,,
Journal of Latin Linguistics,2194-8739,2194-8747,Linguistics and Semiotics,Linguistics and Semiotics,De Gruyter,Hybrid,,,,,
Journal of Literary Semantics,0341-7638,1613-3838,Linguistics and Semiotics,Linguistics and Semiotics,De Gruyter,Hybrid,,,,,
Journal of Literary Theory,1862-5290,1862-8990,Literary Studies,Literary Studies,De Gruyter,Hybrid,,,,,
Journal of Machine Design and Automation Intelligence,,2940-3693,Engineering,Engineering,De Gruyter,OA,,,,,
Journal of Mathematical Cryptology,1862-2976,1862-2984,Mathematics,Mathematics,De Gruyter,OA,,,,,
Journal of Non-Equilibrium Thermodynamics,0340-0204,1437-4358,Physics,Physics,De Gruyter,Hybrid,,,,,
"Journal of Nonlinear, Complex and Data Science",,2752-2334,Mathematics,Mathematics,De Gruyter,Hybrid,,,,,
Journal of Numerical Mathematics,1570-2820,1569-3953,Mathematics,Mathematics,De Gruyter,Hybrid,,,,,
Journal of Optical Communications,0173-4911,2191-6322,Engineering,Engineering,De Gruyter,Hybrid,,,,,
Journal of Organizational Sociology,,2752-2997,Social Sciences,Social Sciences,De Gruyter,Hybrid,,,,,
Journal of Osteopathic Medicine,,2702-3648,Medicine,Medicine,De Gruyter,Hybrid,,,,,
Journal of Pediatric Endocrinology and Metabolism,0334-018X,2191-0251,Medicine,Medicine,De Gruyter,Hybrid,,,,,
Journal of Perinatal Medicine,0300-5577,1619-3997,Medicine,Medicine,De Gruyter,Hybrid,,,,,
Journal of Politeness Research,1612-5681,1613-4877,Linguistics and Semiotics,Linguistics and Semiotics,De Gruyter,Hybrid,,,,,
Journal of Polymer Engineering,0334-6447,2191-0340,Industrial Chemistry,Industrial Chemistry,De Gruyter,Hybrid,,,,,
Journal of Quantitative Analysis in Sports,2194-6388,1559-0410,Mathematics,Mathematics,De Gruyter,Hybrid,,,,,
Journal of South Asian Languages and Linguistics,2196-0771,2196-078X,Linguistics and Semiotics,Linguistics and Semiotics,De Gruyter,Hybrid,,,,,
Journal of the Bible and its Reception,2329-440X,2329-4434,Theology and Religion,Theology and Religion,De Gruyter,Hybrid,,,,,
Journal of the Canadian Society for Syriac Studies,,2688-4747,Classical and Ancient Near Eastern Studies,Classical and Ancient Near Eastern Studies,De Gruyter,Hybrid,,,,,
Journal of the International Arthurian Society,2196-9353,2196-9361,Literary Studies,Literary Studies,De Gruyter,Hybrid,,,,,
Journal of the International Qur’anic Studies Association,2474-8390,2474-8420,Islamic and Middle Eastern Studies,Islamic and Middle Eastern Studies,De Gruyter,Hybrid,,,,,
Journal of the Mechanical Behavior of Materials,0334-8938,2191-0243,Materials Sciences,Materials Sciences,De Gruyter,OA,,,,,
Journal of Time Series Econometrics,2194-6507,1941-1928,Business and Economics,Business and Economics,De Gruyter,Hybrid,,,,,
Journal of Tort Law,2194-6515,1932-9148,Law,Law,De Gruyter,Hybrid,,,,,
Journal of Transcendental Philosophy,2626-8310,2626-8329,Philosophy,Philosophy,De Gruyter,Hybrid,,,,,
Journal of Transcultural Communication,,2749-4799,Cultural Studies,Cultural Studies,De Gruyter,Hybrid,,,,,
Journal of Translational Internal Medicine,,2224-4018,Medicine,Medicine,De Gruyter,OA,,,,,
Journal of World Languages,,2169-8260,Linguistics and Semiotics,Linguistics and Semiotics,De Gruyter,Hybrid,,,,,
JURA - Juristische Ausbildung,0170-1452,1612-7021,Law,Law,De Gruyter,Hybrid,,,,,
Juristische Rundschau,0022-6920,1612-7064,Law,Law,De Gruyter,Hybrid,,,,,
Kadmos,0022-7498,1613-0723,Classical and Ancient Near Eastern Studies,Classical and Ancient Near Eastern Studies,De Gruyter,Hybrid,,,,,
Kant Yearbook,1868-4599,1868-4602,Philosophy,Philosophy,De Gruyter,Hybrid,,,,,
