journal_title,issn,eissn,subject_area,subject_category,publisher,oa_type,sjr_quartile,sjr_score,impact_factor,h_index,scope
Annals of Behavioral Medicine,,1532-4796,Medicine,Medicine,Oxford UP,Hybrid,,,,,
Annals Of Botany,0305-7364,1095-8290,Life Sciences,Life Sciences,Oxford UP,Hybrid,,,,,
Annals of ICA,2380-8985,2380-8977,Social Sciences,Social Sciences,Oxford UP,Hybrid,,,,,
Annals of the American Thoracic Society,2329-6933,2325-6621,Medicine,Medicine,Oxford UP,Hybrid,,,,,
Annals of the Entomological Society of America,0013-8746,1938-2901,Life Sciences,Life Sciences,Oxford UP,Hybrid,,,,,
Annals of Work Exposures and Health,2398-7308,2398-7316,Medicine,Medicine,Oxford UP,Hybrid,,,,,
AoB PLANTS,,2041-2851,,,Oxford UP,Hybrid,,,,,
Applied Linguistics,0142-6001,1477-450X,Humanities,Humanities,Oxford UP,Hybrid,,,,,
Arbitration International,0957-0411,1875-8398,Law,Law,Oxford UP,Hybrid,,,,,
Archives of Clinical Neuropsychology,0887-6177,1873-5843,Medicine,Medicine,Oxford UP,Hybrid,,,,,
Aristotelian Society Supplementary Volume,0309-7013,1467-8349,Humanities,Humanities,Oxford UP,Hybrid,,,,,
Art History,0141-6790,1467-8365,Humanities,Humanities,Oxford UP,Hybrid,,,,,
Arthropod Management Tests,,2155-9856,,,Oxford UP,Hybrid,,,,,
Behavioral Ecology,1045-2249,1465-7279,Life Sciences,Life Sciences,Oxford UP,Hybrid,,,,,
Bioinformatics,1367-4803,1367-4811,,,Oxford UP,Hybrid,,,,,
Biological Journal of the Linnean Society,0024-4066,1095-8312,Life Sciences,Life Sciences,Oxford UP,Hybrid,,,,,
Biology of Reproduction,0006-3363,1529-7268,Life Sciences,Life Sciences,Oxford UP,Hybrid,,,,,
Biometrics,0006341X,1541-0420,Mathematics & Physical Sciences,Mathematics & Physical Sciences,Oxford UP,Hybrid,,,,,
Biometrika,0006-3444,1464-3510,Mathematics & Physical Sciences,Mathematics & Physical Sciences,Oxford UP,Hybrid,,,,,
BioScience,0006-3568,1525-3244,Life Sciences,Life Sciences,Oxford UP,Hybrid,,,,,
"Bioscience, Biotechnology, and Biochemistry",0916-8451,1347-6947,Life Sciences,Life Sciences,Oxford UP,Hybrid,,,,,
Biostatistics,1465-4644,1468-4357,Mathematics & Physical Sciences,Mathematics & Physical Sciences,Oxford UP,Hybrid,,,,,
BJR Artificial Intelligence,,2976-8705,,,Oxford UP,Hybrid,,,,,
BJS,0007-1323,1365-2168,Medicine,Medicine,Oxford UP,Hybrid,,,,,
BJS Open,,2474-9842,,,Oxford UP,Hybrid,,,,,
Botanical Journal of the Linnean Society,0024-4074,1095-8339,Life Sciences,Life Sciences,Oxford UP,Hybrid,,,,,
Brain,0006-8950,1460-2156,Medicine,Medicine,Oxford UP,Hybrid,,,,,
Briefings in Functional Genomics,2041-2649,2041-2657,Life Sciences,Life Sciences,Oxford UP,Hybrid,,,,,
British Journal of Aesthetics,0007-0904,1468-2842,Humanities,Humanities,Oxford UP,Hybrid,,,,,
British Journal Of Criminology,0007-0955,1464-3529,Law,Law,Oxford UP,Hybrid,,,,,
British Journal of Dermatology,0007-0963,1365-2133,Medicine,Medicine,Oxford UP,Hybrid,,,,,
British Journal of Radiology,0007-1285,1748-880X,Medicine,Medicine,Oxford UP,Hybrid,,,,,
British Medical Bulletin,0007-1420,1471-8391,Medicine,Medicine,Oxford UP,Hybrid,,,,,
Bulletin of the Chemical Society of Japan,0009-2673,1348-0634,Mathematics & Physical Sciences,Mathematics & Physical Sciences,Oxford UP,Hybrid,,,,,
Bulletin of the Institute of Classical Studies,0076-0730,2041-5370,Humanities,Humanities,Oxford UP,Hybrid,,,,,
Burns & Trauma,,2321-3876,,,Oxford UP,Hybrid,,,,,
Cambridge Journal Of Economics,0309-166X,1464-3545,Economics & Finance,Economics & Finance,Oxford UP,Hybrid,,,,,
"Cambridge Journal Of Regions, Economy And Society",1752-1378,1752-1386,Economics & Finance,Economics & Finance,Oxford UP,Hybrid,,,,,
Cardiovascular Research,0008-6363,1755-3245,Medicine,Medicine,Oxford UP,Hybrid,,,,,
Chemical Senses,0379-864X,1464-3553,Medicine,Medicine,Oxford UP,Hybrid,,,,,
Chemistry Letters,0366-7022,1348-0715,Mathematics & Physical Sciences,Mathematics & Physical Sciences,Oxford UP,Hybrid,,,,,
Child Development,0009-3920,1467-8624,Medicine,Medicine,Oxford UP,Hybrid,,,,,
Child Development Perspectives,1750-8592,1750-8606,Medicine,Medicine,Oxford UP,Hybrid,,,,,
Christian Bioethics,1380-3603,1744-4195,Medicine,Medicine,Oxford UP,Hybrid,,,,,
Classical Receptions Journal,1759-5134,1759-5142,Humanities,Humanities,Oxford UP,Hybrid,,,,,
Clinical & Experimental Immunology,0009-9104,1365-2249,Medicine,Medicine,Oxford UP,Hybrid,,,,,
Clinical and Experimental Dermatology,0307-6938,1365-2230,Medicine,Medicine,Oxford UP,Hybrid,,,,,
Clinical Chemistry,0009-9147,1530-8561,Medicine,Medicine,Oxford UP,Hybrid,,,,,
Clinical Infectious Diseases,1058-4838,1537-6591,Medicine,Medicine,Oxford UP,Hybrid,,,,,
Clinical Kidney Journal,2048-8505,2048-8513,,,Oxford UP,Hybrid,,,,,
Communication Theory,1050-3293,1468-2885,Policy,Policy,Oxford UP,Hybrid,,,,,
"Communication, Culture and Critique",1753-9129,1753-9137,Policy,Policy,Oxford UP,Hybrid,,,,,
Community Development Journal,0010-3802,1468-2656,Policy,Policy,Oxford UP,Hybrid,,,,,
Composite Design and Manufacturing,,2977-7305,,,Oxford UP,Hybrid,,,,,
Conservation Physiology,,2051-1434,,,Oxford UP,Hybrid,,,,,
Contemporary Women's Writing,1754-1476,1754-1484,Humanities,Humanities,Oxford UP,Hybrid,,,,,
Contributions To Political Economy,0277-5921,1464-3588,Economics & Finance,Economics & Finance,Oxford UP,Hybrid,,,,,
Current Zoology,1674-5507,2396-9814,,,Oxford UP,Hybrid,,,,,
Database,,1758-0463,,,Oxford UP,Hybrid,,,,,
Dentomaxillofacial Radiology,0250-832X,1476-542X,Medicine,Medicine,Oxford UP,Hybrid,,,,,
Digital Scholarship in the Humanities,2055-7671,2055-768X,Humanities,Humanities,Oxford UP,Hybrid,,,,,
Diplomatic History,0145-2096,1467-7709,Humanities,Humanities,Oxford UP,Hybrid,,,,,
Discovery Immunology,,2754-2483,,,Oxford UP,Hybrid,,,,,
Diseases of the Esophagus,1120-8694,1442-2050,Medicine,Medicine,Oxford UP,Hybrid,,,,,
DNA Research,1340-2838,1756-1663,,,Oxford UP,Hybrid,,,,,
Early Music,0306-1078,1741-7260,Humanities,Humanities,Oxford UP,Hybrid,,,,,
Economic Policy: Papers on European and Global Issues,0266-4658,1468-0327,Economics & Finance,Economics & Finance,Oxford UP,Hybrid,,,,,
Elt Journal,0951-0893,1477-4526,Humanities,Humanities,Oxford UP,Hybrid,,,,,
Endocrine Reviews,0163-769X,1945-7189,Medicine,Medicine,Oxford UP,Hybrid,,,,,
Endocrinology,0013-7227,1945-7170,Medicine,Medicine,Oxford UP,Hybrid,,,,,
English,0013-8215,1756-1124,Humanities,Humanities,Oxford UP,Hybrid,,,,,
Environmental Endocrinology,,3049-7442,,,Oxford UP,Hybrid,,,,,
Environmental Entomology,0046-225X,1938-2936,Life Sciences,Life Sciences,Oxford UP,Hybrid,,,,,
Environmental Toxicology and Chemistry,0730-7268,1552-8618,Life Sciences,Life Sciences,Oxford UP,Hybrid,,,,,
Epidemiologic Reviews,0193-936X,1478-6729,Medicine,Medicine,Oxford UP,Hybrid,,,,,
ESC Heart Failure,,2055-5822,,,Oxford UP,Hybrid,,,,,
Essays In Criticism,0014-0856,1471-6852,Humanities,Humanities,Oxford UP,Hybrid,,,,,
Europace,1099-5129,1532-2092,,,Oxford UP,Hybrid,,,,,
European Heart Journal,0195-668X,1522-9645,Medicine,Medicine,Oxford UP,Hybrid,,,,,
European Heart Journal - Cardiovascular Imaging,2047-2404,2047-2412,Medicine,Medicine,Oxford UP,Hybrid,,,,,
European Heart Journal - Cardiovascular Pharmacotherapy,2055-6837,2055-6845,Medicine,Medicine,Oxford UP,Hybrid,,,,,
European Heart Journal – Imaging Methods & Practice,,2755-9637,,,Oxford UP,Hybrid,,,,,
European Heart Journal - Quality of Care and Clinical Outcomes,2058-5225,2058-1742,Medicine,Medicine,Oxford UP,Hybrid,,,,,
European Heart Journal – Valvular and Structural Heart Disease,N/A,2977-8565,,,Oxford UP,Hybrid,,,,,
European Heart Journal Supplements,,,Medicine,Medicine,Oxford UP,Hybrid,,,,,
European Heart Journal: Acute Cardiovascular Care,2048-8726,2048-8734,Medicine,Medicine,Oxford UP,Hybrid,,,,,
European Journal of Cardio-Thoracic Surgery,1010-7940,1873-734X,Medicine,Medicine,Oxford UP,Hybrid,,,,,
European Journal of Cardiovascular Nursing,1474-5151,1873-1953,Medicine,Medicine,Oxford UP,Hybrid,,,,,
European Journal of Endocrinology,0804-4643,1479-683X,Medicine,Medicine,Oxford UP,Hybrid,,,,,
European Journal of Heart Failure,1388-9842,1879-0844,Medicine,Medicine,Oxford UP,Hybrid,,,,,
European Journal Of International Law,0938-5428,1464-3596,Law,Law,Oxford UP,Hybrid,,,,,
European Journal of Orthodontics,0141-5387,1460-2210,Medicine,Medicine,Oxford UP,Hybrid,,,,,
European Journal of Preventive Cardiology,2047-4873,2047-4881,Medicine,Medicine,Oxford UP,Hybrid,,,,,
European Journal Of Public Health,1101-1262,1464-360X,,,Oxford UP,Hybrid,,,,,
European Review Of Agricultural Economics,0165-1587,1464-3618,Life Sciences,Life Sciences,Oxford UP,Hybrid,,,,,
European Review of Economic History,1361-4916,1474-0044,Humanities,Humanities,Oxford UP,Hybrid,,,,,
European Sociological Review,0266-7215,1468-2672,Social Sciences,Social Sciences,Oxford UP,Hybrid,,,,,
European Stroke Journal,2396-9873,2396-9881,,,Oxford UP,Hybrid,,,,,
Evolution,0014-3820,1558-5646,Life Sciences,Life Sciences,Oxford UP,Hybrid,,,,,
Evolution Letters,,2056-3744,,,Oxford UP,Hybrid,,,,,
"Evolution, Medicine, and Public Health",N/A,2050-6201,,,Oxford UP,Hybrid,,,,,
Evolutionary Journal of the Linnean Society,,2752-938X,,,Oxford UP,Hybrid,,,,,
Exposome,,2635-2265,,,Oxford UP,Hybrid,,,,,
Family Practice,0263-2136,1460-2229,Medicine,Medicine,Oxford UP,Hybrid,,,,,
FEMS Microbiology Ecology,0168-6496,1574-6941,,,Oxford UP,Hybrid,,,,,
FEMS Microbiology Letters,0378-1097,1574-6968,Life Sciences,Life Sciences,Oxford UP,Hybrid,,,,,
FEMS Yeast Research,1567-1356,1567-1364,,,Oxford UP,Hybrid,,,,,
Fisheries,0363-2415,1548-8446,Life Sciences,Life Sciences,Oxford UP,Hybrid,,,,,
Food Quality and Safety,2399-1399,2399-1402,,,Oxford UP,Hybrid,,,,,
Foreign Policy Analysis,1743-8586,1743-8594,Policy,Policy,Oxford UP,Hybrid,,,,,
Forestry: An International Journal Of Forest Research,0015-752X,1464-3626,Life Sciences,Life Sciences,Oxford UP,Hybrid,,,,,
Forum For Modern Language Studies,0015-8518,1471-6860,Humanities,Humanities,Oxford UP,Hybrid,,,,,
French History,0269-1191,1477-4542,Humanities,Humanities,Oxford UP,Hybrid,,,,,
"G3: Genes, Genomes, Genetics",,2160-1836,,,Oxford UP,Hybrid,,,,,
Gastroenterology Report,n/a,2052-0034,,,Oxford UP,Hybrid,,,,,
Genetics,,1943-2631,Medicine,Medicine,Oxford UP,Hybrid,,,,,
Genome Biology and Evolution,N/A,1759-6653,,,Oxford UP,Hybrid,,,,,
"Genomics, Proteomics, and Bioinformatics",1672-0229,2210-3244,,,Oxford UP,Hybrid,,,,,
Geophysical Journal International,0956-540X,1365-246X,,,Oxford UP,Hybrid,,,,,
German History,0266-3554,1477-089X,Humanities,Humanities,Oxford UP,Hybrid,,,,,
GigaScience,N/A,2047-217X,,,Oxford UP,Hybrid,,,,,
Global Perspectives in Communication,,2977-7496,,,Oxford UP,Hybrid,,,,,
Global Perspectives on Nutrition,,2977-7488,,,Oxford UP,Hybrid,,,,,
Global Studies Quarterly,,2634-3797,,,Oxford UP,Hybrid,,,,,
Glycobiology,0959-6658,1460-2423,Medicine,Medicine,Oxford UP,Hybrid,,,,,
GRUR International,2632-8623,2632-8550,Law,Law,Oxford UP,Hybrid,,,,,
Health Education Research,0268-1153,1465-3648,Medicine,Medicine,Oxford UP,Hybrid,,,,,
Health Policy And Planning,0268-1080,1460-2237,,,Oxford UP,Hybrid,,,,,
Health Promotion International,0957-4824,1460-2245,,,Oxford UP,Hybrid,,,,,
Historical Research,0950-3471,1468-2281,Humanities,Humanities,Oxford UP,Hybrid,,,,,
History Workshop Journal,1363-3554,1477-4569,Humanities,Humanities,Oxford UP,Hybrid,,,,,
Holocaust And Genocide Studies,8756-6583,1476-7937,Humanities,Humanities,Oxford UP,Hybrid,,,,,
Horticulture Research,,2052-7276,,,Oxford UP,Hybrid,,,,,
Human Communication Research,0360-3989,1468-2958,Policy,Policy,Oxford UP,Hybrid,,,,,
Human Reproduction,0268-1161,1460-2350,Medicine,Medicine,Oxford UP,Hybrid,,,,,
Human Reproduction Open,n/a,2399-3529,,,Oxford UP,Hybrid,,,,,
Human Reproduction Update,1355-4786,1460-2369,Medicine,Medicine,Oxford UP,Hybrid,,,,,
Human Rights Law Review,1461-7781,1744-1021,Law,Law,Oxford UP,Hybrid,,,,,
ICES Journal of Marine Science,1054-3139,1095-9289,,,Oxford UP,Hybrid,,,,,
ICSID Review - Foreign Investment Law Journal,0258-3690,2049-1999,Law,Law,Oxford UP,Hybrid,,,,,
IJQHC Communications,,2634-5293,,,Oxford UP,Hybrid,,,,,
IMA Journal Of Management Mathematics,1471-678X,1471-6798,Mathematics & Physical Sciences,Mathematics & Physical Sciences,Oxford UP,Hybrid,,,,,
Ima Journal Of Mathematical Control And Information,0265-0754,1471-6887,Mathematics & Physical Sciences,Mathematics & Physical Sciences,Oxford UP,Hybrid,,,,,
Ima Journal Of Numerical Analysis,0272-4979,1464-3642,Mathematics & Physical Sciences,Mathematics & Physical Sciences,Oxford UP,Hybrid,,,,,
ImmunoHorizons,,2573-7732,,,Oxford UP,Hybrid,,,,,
Industrial And Corporate Change,0960-6491,1464-3650,Economics & Finance,Economics & Finance,Oxford UP,Hybrid,,,,,
Industrial Law Journal,0305-9332,1464-3669,Law,Law,Oxford UP,Hybrid,,,,,
Inflammatory Bowel Diseases,1078-0998,1536-4844,Medicine,Medicine,Oxford UP,Hybrid,,,,,
Information and Inference: a journal of the IMA,2049-8764,2049-8772,Mathematics & Physical Sciences,Mathematics & Physical Sciences,Oxford UP,Hybrid,,,,,
Innovation in Aging,,2399-5300,,,Oxford UP,Hybrid,,,,,
Insect Systematics and Diversity,,2399-3421,Life Sciences,Life Sciences,Oxford UP,Hybrid,,,,,
Integrated Environmental Assessment and Management,1551-3777,1551-3793,Life Sciences,Life Sciences,Oxford UP,Hybrid,,,,,
Integrative And Comparative Biology,1540-7063,1557-7023,Life Sciences,Life Sciences,Oxford UP,Hybrid,,,,,
Integrative Biology,,1757-9708,Life Sciences,Life Sciences,Oxford UP,Hybrid,,,,,
Integrative Organismal Biology: A Journal of the Society for Integrative and Comparative Biology,,2517-4843,,,Oxford UP,Hybrid,,,,,
Interacting with Computers,0953-5438,1873-7951,Medicine,Medicine,Oxford UP,Hybrid,,,,,
Interdisciplinary CardioVascular and Thoracic Surgery,1569-9293,2753-670X,,,Oxford UP,Hybrid,,,,,
International Affairs,0020-5850,1468-2346,Policy,Policy,Oxford UP,Hybrid,,,,,
International Data Privacy Law,2044-3994,2044-4001,Law,Law,Oxford UP,Hybrid,,,,,
International Health,1876-3413,1876-3405,,,Oxford UP,Hybrid,,,,,
International Immunology,0953-8178,1460-2377,Medicine,Medicine,Oxford UP,Hybrid,,,,,
International Journal For Quality In Health Care,1353-4505,1464-3677,Medicine,Medicine,Oxford UP,Hybrid,,,,,
International Journal Of Constitutional Law,1474-2640,1474-2659,Law,Law,Oxford UP,Hybrid,,,,,
International Journal Of Epidemiology,0300-5771,1464-3685,Medicine,Medicine,Oxford UP,Hybrid,,,,,
International Journal of Food Science and Technology,0950-5423,1365-2621,,,Oxford UP,Hybrid,,,,,
"International Journal Of Law, Policy And The Family",1360-9939,1464-3707,Law,Law,Oxford UP,Hybrid,,,,,
International Journal Of Lexicography,0950-3846,1477-4577,Humanities,Humanities,Oxford UP,Hybrid,,,,,
International Journal of Low-Carbon Technologies,1748-1317,1748-1325,,,Oxford UP,Hybrid,,,,,
International Journal Of Public Opinion Research,0954-2892,1471-6909,Policy,Policy,Oxford UP,Hybrid,,,,,
International Journal Of Transitional Justice,1752-7716,1752-7724,Law,Law,Oxford UP,Hybrid,,,,,
International Mathematics Research Notices,1073-7928,1687-0247,Mathematics & Physical Sciences,Mathematics & Physical Sciences,Oxford UP,Hybrid,,,,,
International Political Sociology,1749-5679,1749-5687,Policy,Policy,Oxford UP,Hybrid,,,,,
International Relations Of The Asia-pacific,1470-482X,1470-4838,Policy,Policy,Oxford UP,Hybrid,,,,,
International Studies Perspectives,1528-3577,1528-3585,Policy,Policy,Oxford UP,Hybrid,,,,,
International Studies Quarterly,0020-8833,1468-2478,Policy,Policy,Oxford UP,Hybrid,,,,,
International Studies Review,1521-9488,1468-2486,Policy,Policy,Oxford UP,Hybrid,,,,,
ISLE: Interdisciplinary Studies in Literature and Environment,1076-0962,1759-1090,Humanities,Humanities,Oxford UP,Hybrid,,,,,
Japanese Journal Of Clinical Oncology,0368-2811,1465-3621,Medicine,Medicine,Oxford UP,Hybrid,,,,,
JCEM Case Reports,,2755-1520,,,Oxford UP,Hybrid,,,,,
Jerusalem Review of Legal Studies,2219-7125,2219-7117,Law,Law,Oxford UP,Hybrid,,,,,
JNCI Monographs,1052-6773,1745-6614,Medicine,Medicine,Oxford UP,Hybrid,,,,,
Journal Of African Economies,0963-8024,1464-3723,Economics & Finance,Economics & Finance,Oxford UP,Hybrid,,,,,
Journal of Analytical Toxicology,0146-4760,1945-2403,Medicine,Medicine,Oxford UP,Hybrid,,,,,
Journal of Animal Science,0021-8812,1525-3163,Life Sciences,Life Sciences,Oxford UP,Hybrid,,,,,
Journal of Antimicrobial Chemotherapy,0305-7453,1460-2091,Medicine,Medicine,Oxford UP,Hybrid,,,,,
Journal of AOAC International,1060-3271,1944-7922,Life Sciences,Life Sciences,Oxford UP,Hybrid,,,,,
Journal of Applied Microbiology,0021-8847,1365-2672,Life Sciences,Life Sciences,Oxford UP,Hybrid,,,,,
Journal of Aquatic Animal Health,0899-7659,1548-8667,Life Sciences,Life Sciences,Oxford UP,Hybrid,,,,,
Journal of Bone and Mineral Research,0884-0431,1523-4681,Medicine,Medicine,Oxford UP,Hybrid,,,,,
Journal of Burn Care & Research,1559-047X,1559-0488,Medicine,Medicine,Oxford UP,Hybrid,,,,,
Journal of Chromatographic Science,0021-9665,1945-239X,Life Sciences,Life Sciences,Oxford UP,Hybrid,,,,,
Journal of Church and State,0021-969X,2040-4867,Humanities,Humanities,Oxford UP,Hybrid,,,,,
Journal of Communication,0021-9916,1460-2466,Policy,Policy,Oxford UP,Hybrid,,,,,
Journal Of Competition Law & Economics,1744-6414,1744-6422,Law,Law,Oxford UP,Hybrid,,,,,
Journal of Complex Networks,2051-1310,2051-1329,Mathematics & Physical Sciences,Mathematics & Physical Sciences,Oxford UP,Hybrid,,,,,
Journal of Computational Design and Engineering,N/A,2288-5048,,,Oxford UP,Hybrid,,,,,
Journal of Computer-Mediated Communication,,1083-6101,,,Oxford UP,Hybrid,,,,,
Journal of Consumer Research,0093-5301,1537-5277,Economics & Finance,Economics & Finance,Oxford UP,Hybrid,,,,,
Journal of Crohn’s and Colitis,1873-9946,1876-4479,Medicine,Medicine,Oxford UP,Hybrid,,,,,
Journal of Crustacean Biology,0278-0372,1937-240X,Life Sciences,Life Sciences,Oxford UP,Hybrid,,,,,
Journal Of Deaf Studies And Deaf Education,1081-4159,1465-7325,Medicine,Medicine,Oxford UP,Hybrid,,,,,
Journal Of Design History,0952-4649,1741-7279,Humanities,Humanities,Oxford UP,Hybrid,,,,,
Journal of Economic Entomology,0022-0493,1938-291X,Life Sciences,Life Sciences,Oxford UP,Hybrid,,,,,
Journal Of Economic Geography,1468-2702,1468-2710,Economics & Finance,Economics & Finance,Oxford UP,Hybrid,,,,,
Journal Of Environmental Law,0952-8873,1464-374X,Law,Law,Oxford UP,Hybrid,,,,,
Journal of Evolutionary Biology,1010-061X,1420-9101,Life Sciences,Life Sciences,Oxford UP,Hybrid,,,,,
Journal Of Experimental Botany,0022-0957,1460-2431,Life Sciences,Life Sciences,Oxford UP,Hybrid,,,,,
Journal Of Financial Econometrics,1479-8409,1479-8417,Economics & Finance,Economics & Finance,Oxford UP,Hybrid,,,,,
Journal of Geophysics and Engineering,1742-2132,1742-2140,,,Oxford UP,Hybrid,,,,,
Journal Of Heredity,0022-1503,1465-7333,Life Sciences,Life Sciences,Oxford UP,Hybrid,,,,,
Journal of Hip Preservation Surgery,,2054-8397,,,Oxford UP,Hybrid,,,,,
Journal of Industrial Microbiology & Biotechnology,1367-5435,1476-5535,,,Oxford UP,Hybrid,,,,,
Journal of Insect Science,,1536-2442,,,Oxford UP,Hybrid,,,,,
Journal of Integrated Pest Management,,2155-7470,,,Oxford UP,Hybrid,,,,,
Journal Of International Criminal Justice,1478-1387,1478-1395,Law,Law,Oxford UP,Hybrid,,,,,
Journal of International Dispute Settlement,2040-3585,2040-3593,Law,Law,Oxford UP,Hybrid,,,,,
Journal Of International Economic Law,1369-3034,1464-3758,Law,Law,Oxford UP,Hybrid,,,,,
Journal Of Islamic Studies,0955-2340,1471-6917,Humanities,Humanities,Oxford UP,Hybrid,,,,,
Journal of Law and the Biosciences,,2053-9711,,,Oxford UP,Hybrid,,,,,
Journal of Legal Analysis,2161-7201,1946-5319,,,Oxford UP,Hybrid,,,,,
Journal of Leukocyte Biology,0741-5400,1938-3673,Medicine,Medicine,Oxford UP,Hybrid,,,,,
Journal Of Logic And Computation,0955-792X,1465-363X,Mathematics & Physical Sciences,Mathematics & Physical Sciences,Oxford UP,Hybrid,,,,,
Journal of Mammalogy,0022-2372,1545-1542,Life Sciences,Life Sciences,Oxford UP,Hybrid,,,,,
Journal of Mechanics,,1811-8216,,,Oxford UP,Hybrid,,,,,
Journal of Medical Entomology,0022-2585,1938-2928,Medicine,Medicine,Oxford UP,Hybrid,,,,,
Journal of Medicine and Philosophy,0360-5310,1744-5019,Medicine,Medicine,Oxford UP,Hybrid,,,,,
Journal of Molecular Cell Biology,1674-2788,1759-4685,,,Oxford UP,Hybrid,,,,,
Journal Of Molluscan Studies,0260-1230,1464-3766,Life Sciences,Life Sciences,Oxford UP,Hybrid,,,,,
Journal of Music Therapy,0022-2917,2053-7395,Medicine,Medicine,Oxford UP,Hybrid,,,,,
Journal of Nephrology,1121-8428,1724-6059,Medicine,Medicine,Oxford UP,Hybrid,,,,,
Journal of Neuropathology and Experimental Neurology,0022-3069,1554-6578,Medicine,Medicine,Oxford UP,Hybrid,,,,,
Journal of Occupational Health,,1348-9585,,,Oxford UP,Hybrid,,,,,
Journal of Peace Research,,1460-3578,Social Sciences,Social Sciences,Oxford UP,Hybrid,,,,,
Journal Of Pediatric Psychology,0146-8693,1465-735X,Medicine,Medicine,Oxford UP,Hybrid,,,,,
Journal Of Petrology,0022-3530,1460-2415,Life Sciences,Life Sciences,Oxford UP,Hybrid,,,,,
Journal of Pharmacy and Pharmacology,0022-3573,2042-7158,Medicine,Medicine,Oxford UP,Hybrid,,,,,
Journal of Philosophy of Education,0309-8249,1467-9752,Humanities,Humanities,Oxford UP,Hybrid,,,,,
Journal Of Plankton Research,0142-7873,1464-3774,Life Sciences,Life Sciences,Oxford UP,Hybrid,,,,,
Journal of Plant Ecology,1752-9921,1752-993X,,,Oxford UP,Hybrid,,,,,
Journal Of Public Administration Research And Theory,1053-1858,1477-9803,Policy,Policy,Oxford UP,Hybrid,,,,,
