journal_title,issn,eissn,subject_area,subject_category,publisher,oa_type,sjr_quartile,sjr_score,impact_factor,h_index,scope
Advanced Science,,2198-3844,Physical Sciences & Engineering,Materials Science,Wiley,Hybrid,Q1,,14.1,,
Advanced Sustainable Systems,,2366-7486,"Earth, Space & Environmental Sciences",General & Introductory Environmental Studies,Wiley,Hybrid,Q2,,6.1,,
Advanced Synthesis & Catalysis,,1615-4169,Chemistry,Organic Chemistry,Wiley,Hybrid,Q1,,4,,
Advanced Theory and Simulations,,2513-0390,Physical Sciences & Engineering,"Theory, Modeling & Simulation",Wiley,Hybrid,Q2,,2.9,,
African Development Review,,1467-8268,Social & Behavioral Sciences,General & Introductory Development Studies,Wiley,Hybrid,Q1,,3.1,,
Aggressive Behavior,,1098-2337,Psychology,Brain & Behavior: Physiological Psychology,Wiley,Hybrid,Q2,,2.3,,
Agribusiness,,1520-6297,"Agriculture, Aquaculture & Food Science",Agricultural Economics & Resource Management,Wiley,Hybrid,Q2,,2,,
Agricultural & Environmental Letters,,2471-9625,"Agriculture, Aquaculture & Food Science",Agriculture,Wiley,Hybrid,Q1,,3.6,,
Agricultural and Forest Entomology,,1461-9563,Life Sciences,Entomology,Wiley,Hybrid,Q2,,1.8,,
Agricultural Economics,,1574-0862,"Agriculture, Aquaculture & Food Science",Agricultural Economics & Resource Management,Wiley,Hybrid,Q1,,4,,
Agronomy Journal,,1435-0645,"Agriculture, Aquaculture & Food Science",Crops,Wiley,Hybrid,Q2,,2,,
AGU Advances,,2576-604X,"Earth, Space & Environmental Sciences",Earth Sciences,Wiley,Hybrid,Q1,,6.6,,
AI Magazine,,2371-9621,Computer Science & Information Technology,Artificial Intelligence,Wiley,Hybrid,Q2,,3.2,,
AIChE Journal,,1547-5905,Chemistry,General & Introductory Chemical Engineering,Wiley,Hybrid,Q2,,4,,
"Alcohol, Clinical and Experimental Research",,2993-7175,"Nursing, Dentistry & Healthcare",Alcoholism,Wiley,Hybrid,Q2,,2.7,,
Alimentary Pharmacology & Therapeutics,,1365-2036,Medicine,Gastroenterology & Hepatology,Wiley,Hybrid,Q1,,6.7,,
Allergy,,1398-9995,Medicine,Allergy & Clinical Immunology,Wiley,Hybrid,Q1,,12,,
Alzheimer's & Dementia,,1552-5279,Medicine,Neurology,Wiley,Hybrid,Q1,,11.1,,
American Anthropologist,,1548-1433,Social & Behavioral Sciences,General & Introductory Anthropology,Wiley,Hybrid,Q1,,1.7,,
American Business Law Journal,,1744-1714,Law & Criminology,Commercial Law,Wiley,Hybrid,Q1,,1.5,,
American Ethnologist,,1548-1425,Social & Behavioral Sciences,Anthropological Theory & Methods / Ethnography,Wiley,Hybrid,Q1,,2,,
American Journal of Agricultural Economics,,1467-8276,"Agriculture, Aquaculture & Food Science",Agricultural Economics & Resource Management,Wiley,Hybrid,Q1,,3.3,,
American Journal of Biological Anthropology,,2692-7691,Social & Behavioral Sciences,Biological Anthropology,Wiley,Hybrid,Q1,,2,,
American Journal of Botany,,1537-2197,Life Sciences,Plant Science,Wiley,Hybrid,Q2,,2.7,,
American Journal of Community Psychology,,1573-2770,Psychology,Psychology General,Wiley,Hybrid,Q1,,2.3,,
American Journal of Hematology,,1096-8652,Medicine,Hematology,Wiley,Hybrid,Q1,,9.9,,
American Journal of Human Biology,,1520-6300,Life Sciences,Human Biology,Wiley,Hybrid,Q1,,1.7,,
American Journal of Industrial Medicine,,1097-0274,"Nursing, Dentistry & Healthcare",Environmental & Occupational Health,Wiley,Hybrid,Q1,,3.1,,
American Journal of Medical Genetics Part C: Seminars in Medical Genetics,,1552-4876,Life Sciences,Medical Genetics,Wiley,Hybrid,Q1,,4.4,,
American Journal of Political Science,,1540-5907,Social & Behavioral Sciences,General & Introductory Political Science,Wiley,Hybrid,Q1,,5.6,,
American Journal of Primatology,,1098-2345,Life Sciences,Comparative Biology (Botany & Zoology),Wiley,Hybrid,Q1,,1.8,,
Anaesthesia,,1365-2044,Medicine,Anesthesia & Pain Management,Wiley,Hybrid,Q1,,6.9,,
Analyses of Social Issues and Public Policy,,1530-2415,Psychology,Social Psychology,Wiley,Hybrid,Q2,,1.8,,
Analytic Philosophy,,2153-960X,Humanities,Analytic Philosophy,Wiley,Hybrid,Q2,,0.4,,
Analytical Cellular Pathology,,2210-7185,Medicine,Pathology,Wiley,Hybrid,Q2,,2.7,,
Anatomical Sciences Education,,1935-9780,Life Sciences,Anatomy & Physiology,Wiley,Hybrid,Q1,,4.7,,
Andrology,,2047-2927,Medicine,Andrology,Wiley,Hybrid,Q1,,3.4,,
Animal Conservation,,1469-1795,Life Sciences,Conservation Science,Wiley,Hybrid,Q2,,2.6,,
Animal Genetics,,1365-2052,Life Sciences,Animal Genetics,Wiley,Hybrid,Q2,,2.1,,
Annalen der Physik,,1521-3889,Physical Sciences & Engineering,General Physics,Wiley,Hybrid,Q2,,2.5,,
Annals of Applied Biology,,1744-7348,Life Sciences,Plant Science,Wiley,Hybrid,Q2,,1.8,,
Annals of Clinical and Translational Neurology,,2328-9503,Medicine,Neurology,Wiley,Hybrid,Q1,,3.9,,
Annals of Gastroenterological Surgery,,2475-0328,Medicine,Surgery & Surgical Specialties,Wiley,Hybrid,Q2,,3.3,,
Annals of Neurology,,1531-8249,Medicine,Neurology,Wiley,Hybrid,Q1,,7.7,,
Annals of Public and Cooperative Economics,,1467-8292,"Business, Economics, Finance & Accounting",Public Economics,Wiley,Hybrid,Q1,,2.5,,
Annals of the New York Academy of Sciences,,1749-6632,Life Sciences,General & Introductory Life Sciences,Wiley,Hybrid,Q1,,4.8,,
Anthropology & Education Quarterly,,1548-1492,Social & Behavioral Sciences,Social & Cultural Anthropology,Wiley,Hybrid,Q2,,1.3,,
Antipode,,1467-8330,Social & Behavioral Sciences,General & Introductory Geography,Wiley,Hybrid,Q1,,2.7,,
ANZ Journal of Surgery,,1445-2197,Medicine,Surgery & Surgical Specialties,Wiley,Hybrid,Q2,,1.6,,
APMIS,,1600-0463,Medicine,Immunology,Wiley,Hybrid,Q2,,2.6,,
Applications in Plant Sciences,,2168-0450,Life Sciences,Plant Science,Wiley,Hybrid,Q2,,2.4,,
Applied Economic Perspectives and Policy,,2040-5804,"Agriculture, Aquaculture & Food Science",Agricultural Economics & Resource Management,Wiley,Hybrid,Q1,,3.4,,
Applied Psychology,,1464-0597,Psychology,Applied Psychology,Wiley,Hybrid,Q1,,4.3,,
Applied Psychology: Health and Well-Being,,1758-0854,Psychology,Applied Psychology,Wiley,Hybrid,Q1,,3.6,,
Applied Stochastic Models in Business and Industry,,1526-4025,"Business, Economics, Finance & Accounting",Business Statistics & Math,Wiley,Hybrid,Q2,,1.5,,
Applied Vegetation Science,,1654-109X,Life Sciences,Ecology & Organismal Biology,Wiley,Hybrid,Q2,,2.6,,
Aquaculture Nutrition,,1365-2095,"Agriculture, Aquaculture & Food Science","General Aquaculture, Fisheries & Fish Science",Wiley,Hybrid,Q1,,3.9,,
Aquaculture Research,,1365-2109,"Agriculture, Aquaculture & Food Science","General Aquaculture, Fisheries & Fish Science",Wiley,Hybrid,Q2,,1.9,,
Aquatic Conservation: Marine and Freshwater Ecosystems,,1099-0755,Life Sciences,Aquatic Ecology,Wiley,Hybrid,Q2,,2.2,,
Arabian Archaeology and Epigraphy,,1600-0471,Social & Behavioral Sciences,Middle & Near Eastern Archaeology,Wiley,Hybrid,Q2,,0.8,,
Archaeological Prospection,,1099-0763,"Earth, Space & Environmental Sciences",General & Introductory Earth Sciences,Wiley,Hybrid,Q1,,1.9,,
Archaeology in Oceania,,1834-4453,Social & Behavioral Sciences,General & Introductory Anthropology,Wiley,Hybrid,Q1,,1.4,,
Archaeometry,,1475-4754,Social & Behavioral Sciences,Archaeological Methods & Theory,Wiley,Hybrid,Q1,,1.5,,
Archiv der Pharmazie,,1521-4184,Chemistry,Pharmaceutical & Medicinal Chemistry,Wiley,Hybrid,Q2,,3.6,,
Archives of Insect Biochemistry and Physiology,,1520-6327,Life Sciences,Entomology,Wiley,Hybrid,Q2,,1.9,,
Area,,1475-4762,Social & Behavioral Sciences,General & Introductory Geography,Wiley,Hybrid,Q2,,2.1,,
Arthritis & Rheumatology,,2326-5205,Medicine,Rheumatology,Wiley,Hybrid,Q1,,10.9,,
Arthritis Care & Research,,2151-4658,Medicine,Rheumatology,Wiley,Hybrid,Q2,,3.3,,
Arthroscopy,,1526-3231,Medicine,Surgery & Surgical Specialties,Wiley,Hybrid,Q1,,5.4,,
Artificial Organs,,1525-1594,Physical Sciences & Engineering,Design of Artificial Organs,Wiley,Hybrid,Q2,,2.3,,
Asia & the Pacific Policy Studies,,2050-2680,"Business, Economics, Finance & Accounting",Economics,Wiley,Hybrid,Q2,,0.8,,
Asia Pacific Journal of Human Resources,,1744-7941,"Business, Economics, Finance & Accounting",General & Introductory Business & Management,Wiley,Hybrid,Q1,,4.5,,
Asia Pacific Viewpoint,,1467-8373,Social & Behavioral Sciences,General & Introductory Geography,Wiley,Hybrid,Q1,,1.5,,
Asian Economic Policy Review,,1748-3131,"Business, Economics, Finance & Accounting",General & Introductory Economics,Wiley,Hybrid,Q1,,7,,
Asian Journal of Control,,1934-6093,Physical Sciences & Engineering,Control Systems Technology,Wiley,Hybrid,Q2,,2.7,,
Asian Journal of Organic Chemistry,,2193-5815,Chemistry,Organic Chemistry,Wiley,Hybrid,Q2,,2.7,,
Asia-Pacific Psychiatry,,1758-5872,Medicine,Psychiatry,Wiley,Hybrid,Q2,,3.4,,
Australian Accounting Review,,1835-2561,"Business, Economics, Finance & Accounting",General & Introductory Accounting,Wiley,Hybrid,Q1,,3.3,,
Australian Dental Journal,,1834-7819,"Nursing, Dentistry & Healthcare",General Dentistry,Wiley,Hybrid,Q2,,2.4,,
Australian Economic Papers,,1467-8454,"Business, Economics, Finance & Accounting",General & Introductory Economics,Wiley,Hybrid,Q2,,1.7,,
Australian Journal of Grape and Wine Research,,1755-0238,"Agriculture, Aquaculture & Food Science",Fermented Foods & Beverages,Wiley,Hybrid,Q2,,2.2,,
Australian Journal of Politics & History,,1467-8497,Social & Behavioral Sciences,General & Introductory Political Science,Wiley,Hybrid,Q1,,0.6,,
Australian Journal of Public Administration,,1467-8500,Social & Behavioral Sciences,General & Introductory Political Science,Wiley,Hybrid,Q2,,2.1,,
Australian Journal of Rural Health,,1440-1584,"Nursing, Dentistry & Healthcare",Health & Health Care Special Topics,Wiley,Hybrid,Q2,,2.1,,
Australian Journal of Social Issues,,1839-4655,Social & Behavioral Sciences,General & Introductory Social Policy & Welfare,Wiley,Hybrid,Q2,,1.9,,
Australian Occupational Therapy Journal,,1440-1630,"Nursing, Dentistry & Healthcare",Occupational Therapy,Wiley,Hybrid,Q2,,1.8,,
Australian Veterinary Journal,,1751-0813,Veterinary Medicine,General & Introductory Veterinary Medicine,Wiley,Hybrid,Q2,,1.7,,
Autism Research,,1939-3806,Medicine,Biological Psychiatry,Wiley,Hybrid,Q1,,5.6,,
Basic & Clinical Pharmacology & Toxicology,,1742-7843,Medicine,Pharmacology & Pharmaceutical Medicine,Wiley,Hybrid,Q2,,3.3,,
Basin Research,,1365-2117,"Earth, Space & Environmental Sciences",Geology & Geophysics,Wiley,Hybrid,Q2,,2.6,,
Batteries & Supercaps,,2566-6223,Chemistry,Batteries & Fuel Cells,Wiley,Hybrid,Q2,,4.7,,
Behavioral Sciences & the Law,,1099-0798,Psychology,Forensic Psychology,Wiley,Hybrid,Q1,,1.3,,
Berichte zur Wissenschaftsgeschichte,,1522-2365,Chemistry,Process Development,Wiley,Hybrid,Q3,,0.4,,
Bioengineering & Translational Medicine,,2380-6761,Chemistry,Biochemistry,Wiley,Hybrid,Q1,,5.7,,
BioEssays,,1521-1878,Life Sciences,Cell & Molecular Biology,Wiley,Hybrid,Q2,,2.7,,
Bioethics,,1467-8519,Humanities,Bioethics & Medical Ethics,Wiley,Hybrid,Q2,,2.1,,
BioFactors,,1872-8081,Life Sciences,Biochemistry,Wiley,Hybrid,Q1,,5,,
"Biofuels, Bioproducts and Biorefining",,1932-1031,Physical Sciences & Engineering,Bioenergy,Wiley,Hybrid,Q2,,2.9,,
Bioinorganic Chemistry and Applications,,1687-479X,Chemistry,Bioinorganic Chemistry,Wiley,Hybrid,Q1,,4.1,,
Biological Reviews,,1469-185X,Life Sciences,General & Introductory Life Sciences,Wiley,Hybrid,Q1,,11.7,,
Biometrical Journal,,1521-4036,Mathematics & Statistics,Biometrics,Wiley,Hybrid,Q1,,1.8,,
Biopolymers,,1097-0282,Physical Sciences & Engineering,Biopolymers,Wiley,Hybrid,Q2,,3.2,,
Biotechnology and Bioengineering,,1097-0290,Life Sciences,Biotechnology (Life Sciences),Wiley,Hybrid,Q2,,3.6,,
Biotechnology Journal,,1860-7314,Life Sciences,Biotechnology (Life Sciences),Wiley,Hybrid,Q2,,3.1,,
Bipolar Disorders,,1399-5618,Medicine,Psychiatry,Wiley,Hybrid,Q1,,4.5,,
Birth,,1523-536X,"Nursing, Dentistry & Healthcare",Women's Health Nursing,Wiley,Hybrid,Q1,,2.5,,
BJOG: An International Journal of Obstetrics and Gynaecology,,1471-0528,Medicine,Obstetrics & Gynecology,Wiley,Hybrid,Q1,,4.3,,
BJU International,,1464-410X,Medicine,Urology,Wiley,Hybrid,Q1,,4.4,,
Boreas,,1502-3885,"Earth, Space & Environmental Sciences",Quaternary Science & Glaciology,Wiley,Hybrid,Q2,,2.9,,
Brain and Behavior,,2162-3279,Medicine,Neurology,Wiley,Hybrid,Q2,,2.7,,
Brain Pathology,,1750-3639,Medicine,Pathology,Wiley,Hybrid,Q1,,6.2,,
British Educational Research Journal,,1469-3518,Social & Behavioral Sciences,General & Introductory Education,Wiley,Hybrid,Q1,,2.1,,
British Journal of Clinical Pharmacology,,1365-2125,Medicine,Pharmacology & Pharmaceutical Medicine,Wiley,Hybrid,Q2,,3,,
British Journal of Clinical Psychology,,2044-8260,Psychology,Clinical Psychology,Wiley,Hybrid,Q1,,3.1,,
British Journal of Developmental Psychology,,2044-835X,Psychology,Developmental Psychology,Wiley,Hybrid,Q2,,2.2,,
British Journal of Educational Psychology,,2044-8279,Psychology,Educational & School Psychology,Wiley,Hybrid,Q1,,3.6,,
British Journal of Educational Technology,,1467-8535,Social & Behavioral Sciences,Technology & Education (K-12),Wiley,Hybrid,Q1,,8.1,,
British Journal of Haematology,,1365-2141,Medicine,Hematology,Wiley,Hybrid,Q1,,3.8,,
British Journal of Health Psychology,,2044-8287,Psychology,Health & Behavioral Clinical Psychology,Wiley,Hybrid,Q2,,2.5,,
British Journal of Industrial Relations,,1467-8543,"Business, Economics, Finance & Accounting",Industrial & Labor Relations,Wiley,Hybrid,Q2,,2.2,,
British Journal of Management,,1467-8551,"Business, Economics, Finance & Accounting",Management,Wiley,Hybrid,Q1,,5.7,,
British Journal of Mathematical and Statistical Psychology,,2044-8317,Psychology,"Psychological Methods, Research & Statistics",Wiley,Hybrid,Q1,,1.8,,
British Journal of Pharmacology,,1476-5381,Medicine,Pharmacology & Pharmaceutical Medicine,Wiley,Hybrid,Q1,,7.7,,
British Journal of Psychology,,2044-8295,Psychology,Psychology General,Wiley,Hybrid,Q1,,3.3,,
British Journal of Social Psychology,,2044-8309,Psychology,Social Psychology,Wiley,Hybrid,Q1,,3,,
Bulletin of Latin American Research,,1470-9856,Social & Behavioral Sciences,General & Introductory Geography,Wiley,Hybrid,Q2,,0.6,,
Bulletin of the London Mathematical Society,,1469-2120,Mathematics & Statistics,General & Introductory Mathematics,Wiley,Hybrid,Q2,,0.9,,
"Business Ethics, the Environment & Responsibility",,2694-6424,"Business, Economics, Finance & Accounting",Business Ethics,Wiley,Hybrid,Q1,,4.2,,
Business Strategy and the Environment,,1099-0836,Social & Behavioral Sciences,General & Introductory Development Studies,Wiley,Hybrid,Q1,,13.3,,
CA: A Cancer Journal for Clinicians,,1542-4863,Medicine,Oncology & Radiotherapy,Wiley,Hybrid,Q1,,232.4,,
CAAI Transactions on Intelligence Technology,,2468-2322,Computer Science & Information Technology,Computer Science,Wiley,Hybrid,Q1,,7.3,,
Canadian Geographies / Géographies canadiennes,,1541-0064,Social & Behavioral Sciences,General & Introductory Geography,Wiley,Hybrid,Q2,,1.3,,
Canadian Journal of Agricultural Economics/Revue canadienne d'agroeconomie,,1744-7976,"Agriculture, Aquaculture & Food Science",Agricultural Economics & Resource Management,Wiley,Hybrid,Q2,,2.1,,
Canadian Journal of Infectious Diseases and Medical Microbiology,,1918-1493,Medicine,Infectious Disease & Microbiology,Wiley,Hybrid,Q2,,2.6,,
Cancer Cytopathology,,1934-6638,Medicine,Oncology & Radiotherapy,Wiley,Hybrid,Q2,,3.2,,
Cancer Medicine,,2045-7634,Medicine,Oncology & Radiotherapy,Wiley,Hybrid,Q2,,3.1,,
Cancer Science,,1349-7006,Medicine,Oncology & Radiotherapy,Wiley,Hybrid,Q2,,4.3,,
Carbon Energy,,2637-9368,Physical Sciences & Engineering,Energy,Wiley,Hybrid,Q1,,24.2,,
Cardiovascular Therapeutics,,1755-5922,Medicine,Cardiovascular Disease,Wiley,Hybrid,Q2,,3.4,,
Cell Proliferation,,1365-2184,Life Sciences,Cell Biology,Wiley,Hybrid,Q2,,5.6,,
Cereal Chemistry,,1943-3638,"Agriculture, Aquaculture & Food Science",Bakery & Cereals,Wiley,Hybrid,Q2,,2.5,,
ChemBioEng Reviews,,2196-9744,Chemistry,General & Introductory Chemical Engineering,Wiley,Hybrid,Q1,,6.2,,
ChemCatChem,,1867-3899,Chemistry,Catalysis,Wiley,Hybrid,Q2,,3.9,,
ChemElectroChem,,2196-0216,Chemistry,Physical Chemistry,Wiley,Hybrid,Q2,,3.5,,
Chemical Biology & Drug Design,,1747-0285,Life Sciences,Biochemistry,Wiley,Hybrid,Q2,,3.3,,
Chemistry - A European Journal,,1521-3765,Chemistry,General Chemistry,Wiley,Hybrid,Q2,,3.7,,
Chemistry - An Asian Journal,,1861-471X,Chemistry,General Chemistry,Wiley,Hybrid,Q2,,3.3,,
ChemistryOpen,,2191-1363,Chemistry,General & Introductory Chemistry,Wiley,Hybrid,Q2,,3.1,,
ChemMedChem,,1860-7187,Chemistry,Pharmaceutical & Medicinal Chemistry,Wiley,Hybrid,Q2,,3.4,,
ChemNanoMat,,2199-692X,Physical Sciences & Engineering,Nanochemistry,Wiley,Hybrid,Q2,,2.6,,
ChemPlusChem,,2192-6506,Chemistry,General Chemistry,Wiley,Hybrid,Q2,,2.8,,
ChemSusChem,,1864-564X,Chemistry,Sustainable Chemistry & Green Chemistry,Wiley,Hybrid,Q1,,6.6,,
Child & Family Social Work,,1365-2206,Social & Behavioral Sciences,Social Work,Wiley,Hybrid,Q2,,1.6,,
Child Abuse Review,,1099-0852,Psychology,Childhood,Wiley,Hybrid,Q2,,1.2,,
Child and Adolescent Mental Health,,1475-3588,Psychology,Developmental Psychology,Wiley,Hybrid,Q1,,5,,
"Child: Care, Health and Development",,1365-2214,Social & Behavioral Sciences,Family Studies General,Wiley,Hybrid,Q2,,2,,
Children & Society,,1099-0860,Psychology,Childhood,Wiley,Hybrid,Q2,,1.6,,
China & World Economy,,1749-124X,"Business, Economics, Finance & Accounting",General & Introductory Economics,Wiley,Hybrid,Q1,,3.6,,
